ID	TIME(DAY)	SNP	MODEL
A001	3	2	HUMAN
A002	3	10	HUMAN
A003	3	2	HUMAN
A004	3	3	HUMAN
A005	3	3	HUMAN
A006	3	2	HUMAN
A007	3	3	HUMAN
A008	3	2	HUMAN
A009	3	2	HUMAN
A010	3	3	HUMAN
A011	3	2	HUMAN
A012	3	2	HUMAN
A013	7	9	HUMAN
A014	7	4	HUMAN
A015	7	1	HUMAN
A016	7	10	HUMAN
A017	7	3	HUMAN
A018	7	3	HUMAN
A019	7	11	HUMAN
A020	7	3	HUMAN
A021	7	3	HUMAN
A022	7	1	HUMAN
A023	7	12	HUMAN
A024	7	4	HUMAN
A025	7	11	HUMAN
A026	7	2	HUMAN
A027	7	2	HUMAN
A028	7	11	HUMAN
A029	7	2	HUMAN
A030	14	8	HUMAN
A031	14	9	HUMAN
A032	14	11	HUMAN
A033	14	12	HUMAN
A034	14	5	HUMAN
A035	14	7	HUMAN
A036	14	10	HUMAN
A037	14	13	HUMAN
A038	14	7	HUMAN
A039	14	9	HUMAN
A040	14	9	HUMAN
A041	14	7	HUMAN
A042	14	8	HUMAN
A043	14	11	HUMAN
A044	14	9	HUMAN
A045	14	12	HUMAN
A046	14	9	HUMAN
A047	14	8	HUMAN
A048	21	9	HUMAN
A049	21	11	HUMAN
A050	21	12	HUMAN
A051	21	11	HUMAN
A052	21	8	HUMAN
A053	21	8	HUMAN
A054	21	12	HUMAN
A055	21	11	HUMAN
A056	21	9	HUMAN
A057	21	10	HUMAN
A058	21	14	HUMAN
A059	21	9	HUMAN
A060	21	14	HUMAN
A061	21	10	HUMAN
A062	21	9	HUMAN
A063	28	12	HUMAN
A064	28	13	HUMAN
A065	28	11	HUMAN
A066	28	7	HUMAN
A067	28	10	HUMAN
A068	28	9	HUMAN
A069	28	13	HUMAN
A070	28	5	HUMAN
A071	28	12	HUMAN
A072	28	9	HUMAN
A073	28	7	HUMAN
A074	28	13	HUMAN
A075	28	9	HUMAN
A076	28	7	HUMAN
A077	28	12	HUMAN
A078	3	2	MOUSE
A079	3	3	MOUSE
A080	7	11	MOUSE
A081	7	9	MOUSE
A082	7	11	MOUSE
A083	7	2	MOUSE
A084	14	15	MOUSE
A085	14	9	MOUSE
A086	14	3	MOUSE
A087	14	10	MOUSE
A088	14	9	MOUSE
A089	14	2	MOUSE
A090	14	2	MOUSE
A091	14	11	MOUSE
A092	14	10	MOUSE
A093	21	9	MOUSE
A094	21	8	MOUSE
A095	21	11	MOUSE
A096	21	13	MOUSE
A097	21	14	MOUSE
A098	28	15	MOUSE
A099	28	6	MOUSE
A100	28	9	MOUSE
A101	28	11	MOUSE
A102	28	9	MOUSE
A103	7	3	ZEBRAFISH
A104	14	9	ZEBRAFISH
A105	21	11	ZEBRAFISH
A106	28	10	ZEBRAFISH
A107	28	13	ZEBRAFISH
A108	28	3	ZEBRAFISH
A109	28	10	ZEBRAFISH
