	x	y	colour
A001	1.0 	100.0 	AHNU
A002	1.0 	100.0 	AHNU
A003	1.0 	100.0 	AHNU
A004	2.0 	51.9 	AHNU
A005	2.0 	50.0 	AHNU
A006	2.0 	48.0 	AHNU
A007	3.0 	42.0 	AHNU
A008	3.0 	40.0 	AHNU
A009	3.0 	38.0 	AHNU
A010	4.0 	0	AHNU
A011	4.0 	0.0 	AHNU
A012	4.0 	0.0 	AHNU
A013	1.0 	100.0 	bb
A014	1.0 	100.0 	compete
A015	1.0 	100.0 	compete
A016	1.0 	100.0 	compete
A017	1.0 	100.0 	compete
A018	1.0 	100.0 	compete
A019	1.0 	100.0 	compete
A020	1.0 	100.0 	compete
A021	1.0 	100.0 	compete
A022	1.0 	100.0 	compete
A023	1.0 	100.0 	compete
A024	1.0 	100.0 	compete
A025	1.0 	100.0 	compete
A026	1.0 	100.0 	compete
A027	1.0 	100.0 	compete
A028	1.0 	100.0 	compete
A029	1.0 	100.0 	compete
A030	2.0 	91.6 	compete
A031	2.0 	59.3 	compete
A032	2.0 	56.1 	compete
A033	2.0 	89.4 	compete
A034	2.0 	82.0 	compete
A035	2.0 	76.3 	compete
A036	2.0 	79.2 	compete
A037	2.0 	79.5 	compete
A038	2.0 	62.7 	compete
A039	2.0 	85.4 	compete
A040	2.0 	82.0 	compete
A041	2.0 	72.9 	compete
A042	2.0 	59.1 	compete
A043	2.0 	86.8 	compete
A044	2.0 	88.9 	compete
A045	2.0 	82.3 	compete
A046	3.0 	68.8 	compete
A047	3.0 	45.2 	compete
A048	3.0 	50.7 	compete
A049	3.0 	86.2 	compete
A050	3.0 	77.6 	compete
A051	3.0 	65.6 	compete
A052	3.0 	66.6 	compete
A053	3.0 	69.5 	compete
A054	3.0 	69.3 	compete
A055	3.0 	76.5 	compete
A056	3.0 	59.2 	compete
A057	3.0 	54.8 	compete
A058	3.0 	45.2 	compete
A059	3.0 	77.4 	compete
A060	3.0 	65.8 	compete
A061	3.0 	75.5 	compete
A062	4.0 	49.6 	compete
A063	4.0 	28.7 	compete
A064	4.0 	35.3 	compete
A065	4.0 	61.7 	compete
A066	4.0 	67.5 	compete
A067	4.0 	74.9 	compete
A068	4.0 	43.7 	compete
A069	4.0 	35.5 	compete
A070	4.0 	60.0 	compete
A071	4.0 	83.1 	compete
A072	4.0 	45.5 	compete
A073	4.0 	33.7 	compete
A074	4.0 	24.2 	compete
A075	4.0 	56.0 	compete
A076	4.0 	33.7 	compete
A077	4.0 	27.1 	compete
