	x	y	colour
a01	0	0	compete
a02	2	0.057666667	compete
a03	4	0.094333333	compete
a04	6	0.150333333	compete
a05	8	0.197333333	compete
a06	10	0.162666667	compete
a07	12	0.172	compete
a08	0	0	compete
a09	2	0.005	compete
a10	4	0.111	compete
a11	6	0.156	compete
a12	8	0.164	compete
a13	10	0.142666667	compete
a14	12	0.149	compete
a15	0	0	compete
a16	2	0.043333333	compete
a17	4	0.085333333	compete
a18	6	0.157333333	compete
a19	8	0.158	compete
a20	10	0.188	compete
a21	12	0.174	compete
a22	0	0	compete
a23	2	0.006	compete
a24	4	0.082666667	compete
a25	6	0.147666667	compete
a26	8	0.175	compete
a27	10	0.164	compete
a28	12	0.147333333	compete
a29	0	0	compete
a30	2	0.058	compete
a31	4	0.088333333	compete
a32	6	0.142666667	compete
a33	8	0.174	compete
a34	10	0.186	compete
a35	12	0.187	compete
a36	0	0	compete
a37	2	0.001333333	compete
a38	4	0.081666667	compete
a39	6	0.133333333	compete
a40	8	0.171	compete
a41	10	0.129666667	compete
a42	12	0.120666667	compete
a43	0	0	compete
a44	2	0.041666667	compete
a45	4	0.103	compete
a46	6	0.122666667	compete
a47	8	0.163	compete
a48	10	0.194	compete
a49	12	0.177666667	compete
a50	0	0	compete
a51	2	0.002	compete
a52	4	0.099333333	compete
a53	6	0.127666667	compete
a54	8	0.153	compete
a55	10	0.135	compete
a56	12	0.143333333	compete
a57	0	0	compete
a58	2	0.021666667	compete
a59	4	0.088333333	compete
a60	6	0.103	compete
a61	8	0.159666667	compete
a62	10	0.161	compete
a63	12	0.143333333	compete
a64	0	0	compete
a65	2	0.009666667	compete
a66	4	0.094666667	compete
a67	6	0.12	compete
a68	8	0.18	compete
a69	10	0.149666667	compete
a70	12	0.133333333	compete
a71	0	0	compete
a72	2	0.026666667	compete
a73	4	0.093	compete
a74	6	0.119666667	compete
a75	8	0.182666667	compete
a76	10	0.160333333	compete
a77	12	0.15	compete
a78	0	0	compete
a79	2	0.005666667	compete
a80	4	0.109666667	compete
a81	6	0.151666667	compete
a82	8	0.166	compete
a83	10	0.137333333	compete
a84	12	0.149	compete
a85	0	0	compete
a86	2	0.042	compete
a87	4	0.108	compete
a88	6	0.128	compete
a89	8	0.161333333	compete
a90	10	0.188666667	compete
a91	12	0.168333333	compete
a92	0	0	compete
a93	2	0.035	compete
a94	4	0.098333333	compete
a95	6	0.143666667	compete
a96	8	0.185	compete
a97	10	0.132333333	compete
a98	12	0.124	compete
a99	0	0	compete
a100	2	0.021333333	compete
a101	4	0.093333333	compete
a102	6	0.147333333	compete
a103	8	0.164333333	compete
a104	10	0.170333333	compete
a105	12	0.133	compete
a106	0	0	compete
a107	2	0.005444444	compete
a108	4	0.078	compete
a109	6	0.129	compete
a110	8	0.177	compete
a111	10	0.160333333	compete
a112	12	0.128666667	compete
a113	0	0	compete
a114	2	0.001	compete
a115	4	0.070333333	compete
a116	6	0.113666667	compete
a117	8	0.151666667	compete
a118	10	0.126	compete
a119	12	0.127333333	compete
a120	0	0	compete
a121	2	0.008666667	compete
a122	4	0.078	compete
a123	6	0.093666667	compete
a124	8	0.148333333	compete
a125	10	0.144666667	compete
a126	12	0.137	compete
a127	0	0	AHNU082
a128	2	0.010666667	AHNU082
a129	4	0.008666667	AHNU082
a130	6	0.082333333	AHNU082
a131	8	0.129333333	AHNU082
a132	10	0.165333333	AHNU082
a133	12	0.163333333	AHNU082
a134	0	0	AHNU082
a135	2	0.010666667	AHNU082
a136	4	0.007666667	AHNU082
a137	6	0.077333333	AHNU082
a138	8	0.130333333	AHNU082
a139	10	0.169333333	AHNU082
a140	12	0.164333333	AHNU082
a141	0	0	AHNU082
a142	2	0.009666667	AHNU082
a143	4	0.011666667	AHNU082
a144	6	0.081333333	AHNU082
a145	8	0.133333333	AHNU082
a146	10	0.170333333	AHNU082
a147	12	0.165333333	AHNU082
