	Generation	Identity	Population
1	1	clone_A	0
2	2	clone_A	6.09026787
3	3	clone_A	11.95530277
4	4	clone_A	17.59886536
5	5	clone_A	23.02471633
6	6	clone_A	28.23661633
7	7	clone_A	33.23832602
8	8	clone_A	38.03360608
9	9	clone_A	42.62621717
10	10	clone_A	47.01991995
11	11	clone_A	51.2184751
12	12	clone_A	55.22564328
13	13	clone_A	59.04518515
14	14	clone_A	62.68086138
15	15	clone_A	66.13643264
16	16	clone_A	69.41565959
17	17	clone_A	72.5223029
18	18	clone_A	75.46012324
19	19	clone_A	78.23288127
20	20	clone_A	80.84433765
21	21	clone_A	83.29825306
22	22	clone_A	85.59838816
23	23	clone_A	87.74850361
24	24	clone_A	89.75236009
25	25	clone_A	91.61371826
26	26	clone_A	93.33633878
27	27	clone_A	94.92398232
28	28	clone_A	96.38040954
29	29	clone_A	97.70938112
30	30	clone_A	98.91465772
31	31	clone_A	100
32	32	clone_A	100.9691686
33	33	clone_A	101.8259243
34	34	clone_A	102.5740276
35	35	clone_A	103.2172393
36	36	clone_A	103.75932
37	37	clone_A	104.2040304
38	38	clone_A	104.5551311
39	39	clone_A	104.8163829
40	40	clone_A	104.9915463
41	41	clone_A	105.084382
42	42	clone_A	105.0986508
43	43	clone_A	105.0381133
44	44	clone_A	104.9065301
45	45	clone_A	104.7076619
46	46	clone_A	104.4452694
47	47	clone_A	104.1231132
48	48	clone_A	103.7449541
49	49	clone_A	103.3145526
50	50	clone_A	102.8356694
51	51	clone_A	102.3120653
52	52	clone_A	101.7475009
53	53	clone_A	101.1457367
54	54	clone_A	100.5105336
55	55	clone_A	99.84565217
56	56	clone_A	99.15485306
57	57	clone_A	98.44189696
58	58	clone_A	97.71054453
59	59	clone_A	96.96455643
60	60	clone_A	96.20769334
61	61	clone_A	95.44371592
62	62	clone_A	94.67638483
63	63	clone_A	93.90946074
64	64	clone_A	93.14670432
65	65	clone_A	92.39187623
66	66	clone_A	91.64873714
67	67	clone_A	90.92104772
68	68	clone_A	90.21256863
69	69	clone_A	89.52706053
70	70	clone_A	88.8682841
71	71	clone_A	88.24
72	72	clone_A	87.64524038
73	73	clone_A	87.08412335
74	74	clone_A	86.55603851
75	75	clone_A	86.06037544
76	76	clone_A	85.59652373
77	77	clone_A	85.16387299
78	78	clone_A	84.7618128
79	79	clone_A	84.38973276
80	80	clone_A	84.04702246
81	81	clone_A	83.73307149
82	82	clone_A	83.44726944
83	83	clone_A	83.18900592
84	84	clone_A	82.95767051
85	85	clone_A	82.7526528
86	86	clone_A	82.57334239
87	87	clone_A	82.41912887
88	88	clone_A	82.28940184
89	89	clone_A	82.18355088
90	90	clone_A	82.10096559
91	91	clone_A	82.04103557
92	92	clone_A	82.0031504
93	93	clone_A	81.98669968
94	94	clone_A	81.991073
95	95	clone_A	82.01565996
96	96	clone_A	82.05985015
97	97	clone_A	82.12303315
98	98	clone_A	82.20459857
99	99	clone_A	82.303936
100	100	clone_A	82.42043503
101	101	clone_A	82.55348525
102	102	clone_A	82.70247625
103	103	clone_A	82.86679764
104	104	clone_A	83.045839
105	105	clone_A	83.23898992
106	106	clone_A	83.44564
107	107	clone_A	83.66517883
108	108	clone_A	83.89699601
109	109	clone_A	84.14048112
110	110	clone_A	84.39502376
111	111	clone_A	84.66001353
112	112	clone_A	84.93484001
113	113	clone_A	85.2188928
114	114	clone_A	85.51156149
115	115	clone_A	85.81223568
116	116	clone_A	86.12030496
117	117	clone_A	86.43515891
118	118	clone_A	86.75618714
119	119	clone_A	87.08277924
120	120	clone_A	87.4143248
121	121	clone_A	87.75021341
122	122	clone_A	88.08983467
123	123	clone_A	88.43257816
124	124	clone_A	88.77783349
125	125	clone_A	89.12499025
126	126	clone_A	89.47343802
127	127	clone_A	89.8225664
128	128	clone_A	90.17176499
129	129	clone_A	90.52042337
130	130	clone_A	90.86793114
131	131	clone_A	91.2136779
132	132	clone_A	91.55705323
133	133	clone_A	91.89744674
134	134	clone_A	92.234248
135	135	clone_A	92.56684662
136	136	clone_A	92.89463219
137	137	clone_A	93.2169943
138	138	clone_A	93.53332254
139	139	clone_A	93.84300651
140	140	clone_A	94.1454358
141	141	clone_A	94.44
142	142	clone_A	94.72620792
143	143	clone_A	95.00404522
144	144	clone_A	95.27361676
145	145	clone_A	95.53502741
146	146	clone_A	95.78838204
147	147	clone_A	96.03378552
148	148	clone_A	96.27134272
149	149	clone_A	96.5011585
150	150	clone_A	96.72333774
151	151	clone_A	96.93798531
152	152	clone_A	97.14520606
153	153	clone_A	97.34510488
154	154	clone_A	97.53778662
155	155	clone_A	97.72335616
156	156	clone_A	97.90191837
157	157	clone_A	98.07357811
158	158	clone_A	98.23844025
159	159	clone_A	98.39660967
160	160	clone_A	98.54819123
161	161	clone_A	98.6932898
162	162	clone_A	98.83201024
163	163	clone_A	98.96445743
164	164	clone_A	99.09073624
165	165	clone_A	99.21095152
166	166	clone_A	99.32520816
167	167	clone_A	99.43361102
168	168	clone_A	99.53626497
169	169	clone_A	99.63327488
170	170	clone_A	99.72474561
171	171	clone_A	99.81078204
172	172	clone_A	99.89148903
173	173	clone_A	99.96697145
174	174	clone_A	100.0373342
175	175	clone_A	100.1026821
176	176	clone_A	100.16312
177	177	clone_A	100.2187528
178	178	clone_A	100.2696855
179	179	clone_A	100.3160227
180	180	clone_A	100.3578695
181	181	clone_A	100.3953306
182	182	clone_A	100.428511
183	183	clone_A	100.4575155
184	184	clone_A	100.482449
185	185	clone_A	100.5034164
186	186	clone_A	100.5205225
187	187	clone_A	100.5338721
188	188	clone_A	100.5435703
189	189	clone_A	100.5497217
190	190	clone_A	100.5524314
191	191	clone_A	100.5518041
192	192	clone_A	100.5479447
193	193	clone_A	100.5409582
194	194	clone_A	100.5309493
195	195	clone_A	100.518023
196	196	clone_A	100.5022841
197	197	clone_A	100.4838374
198	198	clone_A	100.4627879
199	199	clone_A	100.4392405
