	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5	MA1	MA2	MA3	MA4	MA5	MA6	MB1	MB2	MB3	MB4	MB5	MB6	MC1	MC2	MC3	MC4	MC5	MC6	MD1	MD2	MD3	MD4	MD5	MD6	ME1	ME2	ME3	ME4	ME5	ME6	MF1	MF2	MF3	MF4	MF5	MF6	YA1	YA2	YA3	YA4	YA5	YD1	YD2	YD3	YD4	YD5	YF1	YF2	YF3	YF4	YF5
HA1	0	0.680882508	0.537632113	0.612704483	0.597662683	0.73519311	0.626413292	0.180484107	0.674857625	0.683281026	0.609142978	0.619869031	0.580455197	0.6350396	0.371459401	0.433434392	0.594698589	0.529129833	0.401418591	0.39922295	0.561227752	0.330058833	0.622721268	0.517853325	0.684863261	0.500453939	0.610084212	0.57523536	0.377562028	0.807917348	0.62494015	0.745408352	0.548373242	0.55075318	0.530351438	0.263979472	0.757498405	0.555388901	0.576943585	0.458202187	0.449779337	0.642032822	0.569598807	0.469794455	0.389018957	0.702500843	0.53796217	0.540752887	0.459449821	0.394558726	0.637002009	0.482647836	0.552962014	0.602053417	0.530073376	0.613189683	0.467928406	0.796061885	0.77215052	0.797361081	0.815099653	0.790574775	0.790748418	0.807048075	0.789081886	0.781904813	0.764025322	0.783698376	0.765156988	0.788420146	0.762921594	0.798906982	0.814525876	0.810291983	0.785698785	0.772636039	0.79275988	0.808983245	0.791123	0.808326698	0.799821667	0.779107427	0.777110444	0.788784946	0.783057171	0.829017808	0.831345171	0.882648964	0.859513036	0.847778982	0.853331168	0.851025821	0.834754452	0.800738408	0.790991791	0.786767486	0.788658094	0.782489372	0.784104389	0.802230802	0.766860401	0.751817689	0.79038211	0.786762638	0.786422746	0.778871681	0.775293847	0.786321505
HA2	0.680882508	0	0.744013385	0.700312175	0.781963886	0.822558103	0.796578441	0.664987539	0.447406489	0.825230577	0.66084788	0.740391134	0.748557767	0.715178339	0.547313362	0.554941906	0.752093802	0.664371414	0.735987045	0.571450915	0.777012214	0.6767271	0.494642025	0.709005236	0.825649013	0.743055919	0.742333835	0.761683947	0.700084513	0.744047926	0.771744228	0.856365051	0.765905984	0.723238959	0.7569372	0.734841345	0.737028548	0.752360965	0.71503186	0.534096253	0.626022189	0.754174878	0.797327906	0.749059117	0.669012152	0.843953844	0.716058462	0.806180195	0.777000534	0.685368834	0.812083241	0.772929314	0.820206382	0.759482909	0.744793579	0.768994648	0.770864788	0.910371861	0.892615303	0.90827905	0.922464998	0.910705713	0.911450545	0.917678381	0.906075013	0.90806426	0.892925839	0.904192894	0.892967858	0.907251265	0.889365352	0.910936477	0.920189308	0.921638844	0.909052274	0.894805762	0.903781558	0.924125033	0.912448554	0.909535996	0.905977312	0.902842711	0.899314248	0.911570029	0.907186594	0.922986416	0.924231825	0.949452048	0.937645073	0.941226395	0.943717208	0.939040551	0.926963323	0.915257842	0.909880565	0.909134183	0.910166756	0.904400527	0.903474496	0.910084034	0.895652174	0.887897142	0.911564626	0.903823934	0.905285868	0.900064963	0.89328375	0.899704698
HA3	0.537632113	0.744013385	0	0.563131313	0.446882399	0.585073533	0.503338766	0.499436907	0.503552027	0.217767006	0.573019542	0.475504931	0.454621893	0.639235508	0.577771841	0.62962963	0.167478298	0.507753982	0.470920712	0.59565607	0.507231078	0.456246325	0.405914682	0.290660737	0.634187316	0.446813012	0.522375531	0.540698593	0.411111111	0.810662629	0.22400801	0.690452472	0.359034351	0.469183318	0.488924051	0.443503124	0.499367889	0.262839559	0.552762227	0.558044914	0.520514036	0.582695333	0.459127131	0.256265235	0.486433145	0.575499854	0.486620375	0.509686018	0.265552505	0.446962009	0.568336232	0.404356415	0.476224791	0.375701613	0.307251605	0.544777914	0.39117435	0.70791814	0.704362832	0.71238844	0.708753486	0.6625843	0.668971478	0.699267557	0.690778929	0.671725025	0.657803718	0.667206216	0.659862448	0.677254317	0.675450011	0.651612191	0.664998368	0.685892315	0.669030733	0.669132259	0.687712375	0.681024699	0.66405363	0.647787411	0.637166188	0.651030059	0.675916749	0.649011942	0.65348256	0.714053879	0.714332372	0.827350337	0.796521554	0.74195279	0.738007182	0.723154452	0.711170497	0.696311431	0.691673989	0.644610859	0.685928828	0.65346693	0.699775713	0.659549607	0.666196112	0.659108006	0.68770157	0.694483104	0.680488869	0.648192771	0.670392336	0.725520013
HA4	0.612704483	0.700312175	0.563131313	0	0.471700089	0.600958283	0.487155339	0.571207513	0.564507745	0.610653804	0.281860951	0.423728814	0.525911206	0.518206109	0.620075496	0.695727392	0.555883282	0.275246693	0.578028909	0.586423963	0.475105042	0.54427956	0.593312152	0.567801075	0.327343015	0.481972735	0.513442965	0.456146789	0.590730307	0.800779423	0.559855278	0.408045077	0.543492063	0.483552804	0.426682062	0.602107482	0.656253276	0.552634358	0.233130124	0.55623324	0.550757298	0.431642663	0.390264139	0.618008127	0.523726668	0.601476666	0.521651676	0.350650965	0.634656855	0.517337729	0.417753226	0.534735724	0.50813232	0.648466685	0.444433888	0.406657203	0.494935961	0.812899787	0.785587809	0.810022201	0.831572206	0.803639487	0.804364184	0.81941914	0.802147565	0.793309502	0.768469728	0.796006012	0.776670863	0.799872733	0.771496386	0.722618917	0.702424767	0.823750729	0.796749706	0.783525535	0.807524537	0.614453944	0.628207197	0.674283154	0.647271929	0.789735547	0.791191937	0.662386103	0.629405405	0.71517761	0.720877335	0.882129478	0.873765793	0.742713782	0.730041064	0.735104283	0.721335886	0.814038091	0.806469238	0.799563574	0.803161542	0.794028743	0.796811902	0.779198816	0.772687986	0.754063302	0.776874532	0.799856012	0.796764738	0.78685845	0.78332388	0.798454639
HA5	0.597662683	0.781963886	0.446882399	0.471700089	0	0.509532243	0.370591313	0.558117195	0.581284117	0.463240692	0.528206201	0.204366537	0.379497908	0.649130161	0.641922791	0.706900168	0.405151978	0.505065883	0.469351277	0.649842602	0.37395598	0.495797425	0.543654928	0.424837979	0.467265792	0.276479259	0.402568922	0.486472315	0.518473234	0.83234591	0.409796518	0.536109372	0.262105096	0.41735754	0.420607842	0.5233177	0.582385321	0.385606421	0.438633377	0.589293227	0.594716427	0.461301602	0.33769958	0.515890495	0.471434452	0.485890552	0.396337141	0.449570187	0.515201542	0.458094565	0.453141161	0.423175008	0.38381182	0.553266687	0.397518741	0.44460219	0.362420994	0.751559418	0.757647311	0.759555908	0.749132639	0.725759691	0.729075955	0.736213088	0.737785103	0.720170758	0.716160258	0.733261745	0.731304062	0.725908247	0.734772053	0.668735923	0.643587939	0.739559042	0.727958082	0.739331027	0.747941321	0.561579004	0.583171939	0.637595922	0.609991765	0.70413241	0.731331836	0.620869751	0.590528194	0.686709372	0.689307767	0.81994723	0.808335546	0.703165875	0.683059526	0.68555271	0.682889208	0.741559206	0.7397672	0.705844778	0.736964643	0.711785298	0.749906999	0.71203552	0.721432816	0.717876049	0.711045734	0.746759721	0.734947608	0.726336439	0.746525217	0.765131863
HA6	0.73519311	0.822558103	0.585073533	0.600958283	0.509532243	0	0.620549656	0.686518047	0.704504318	0.554976007	0.710125332	0.56003341	0.331911352	0.814865006	0.783054792	0.847710441	0.50296044	0.697561485	0.706233006	0.783008037	0.632896181	0.58962963	0.693232459	0.502961061	0.491502521	0.647397633	0.400020775	0.784395536	0.639612965	0.846980976	0.584872196	0.525173881	0.561976946	0.410960334	0.608834125	0.661303003	0.708922146	0.525024946	0.590212788	0.790773093	0.567778936	0.688418211	0.539337582	0.645374985	0.647156991	0.384345975	0.619009601	0.676657509	0.647695673	0.707795216	0.543752617	0.631399281	0.622492659	0.716159998	0.653108591	0.629429839	0.623083301	0.796065539	0.805935098	0.800389126	0.7780963	0.759718069	0.76188185	0.77442567	0.781291312	0.751512578	0.76124512	0.779889998	0.786476481	0.772010339	0.786339003	0.66522808	0.633162853	0.780073801	0.770380218	0.79004861	0.791311893	0.575738126	0.594221509	0.660150376	0.643391385	0.738246369	0.778371016	0.643909679	0.624280875	0.731034852	0.733031674	0.84904472	0.836616148	0.74024319	0.720954907	0.732250876	0.732529228	0.787664307	0.785120374	0.750105887	0.781271876	0.745515932	0.792483746	0.761842174	0.774327011	0.772164016	0.7498537	0.793236396	0.781653258	0.773153417	0.794461053	0.810276255
HA7	0.626413292	0.796578441	0.503338766	0.487155339	0.370591313	0.620549656	0	0.582017918	0.612551301	0.502410396	0.420615433	0.373190686	0.454060834	0.61838936	0.67098831	0.703971497	0.487076907	0.430205109	0.544862366	0.672853098	0.212219831	0.554539656	0.582196773	0.503080082	0.350284551	0.392530247	0.446937285	0.361416745	0.531580345	0.839011217	0.498585054	0.394514548	0.387023426	0.429110738	0.253081563	0.568637776	0.637906648	0.508151744	0.465728242	0.634471886	0.578462183	0.271447197	0.351663693	0.598530678	0.505995304	0.555903812	0.448524051	0.388446184	0.598822885	0.489512355	0.51831596	0.464270546	0.267117454	0.627184714	0.420215235	0.312958604	0.42920256	0.799584465	0.797726298	0.796080089	0.805002933	0.767703863	0.772251168	0.789107267	0.79057536	0.774661406	0.770648611	0.767906004	0.766630197	0.779638561	0.784786242	0.672613493	0.67198572	0.780849486	0.759897419	0.766862412	0.743229252	0.60855546	0.638748522	0.632059103	0.6124856	0.754188736	0.782230251	0.663648951	0.633299119	0.701576031	0.705563975	0.859734233	0.855695262	0.737423313	0.722737448	0.709137435	0.701514749	0.79094263	0.791841861	0.755319149	0.786073689	0.763726945	0.79215124	0.719642951	0.767316309	0.764787604	0.762894863	0.782156298	0.775294309	0.72970324	0.732554844	0.799438384
HB1	0.180484107	0.664987539	0.499436907	0.571207513	0.558117195	0.686518047	0.582017918	0	0.646342109	0.631573322	0.566412702	0.570496363	0.52329176	0.59713767	0.349306158	0.466923159	0.542442953	0.488202878	0.412773253	0.377820554	0.516462337	0.240997831	0.586155643	0.470382901	0.630584101	0.48470866	0.563796956	0.548038901	0.305478784	0.792099132	0.589310529	0.707433798	0.505474945	0.500962567	0.479270315	0.263977657	0.721216007	0.514988429	0.53575829	0.423410869	0.413568376	0.588789023	0.500385398	0.439493693	0.345166103	0.652990169	0.500711661	0.508983111	0.42164096	0.397189408	0.609685569	0.416551127	0.50825072	0.583740119	0.484244511	0.568175535	0.397941515	0.783140388	0.759794266	0.790483376	0.803449965	0.771513028	0.772430803	0.788863997	0.770527343	0.757588946	0.740308165	0.76109925	0.739669421	0.767637995	0.740111129	0.777864948	0.796522219	0.791031875	0.766148814	0.75135862	0.775404639	0.796007896	0.775095996	0.772620749	0.764350115	0.759514617	0.761050573	0.770835597	0.765257181	0.796695757	0.798608042	0.874031842	0.843372842	0.83486638	0.836215334	0.821820951	0.804153337	0.783645191	0.773256786	0.765357065	0.772513942	0.760380623	0.771276884	0.77264156	0.74612969	0.730360355	0.764083547	0.769213382	0.768008416	0.758239315	0.759105912	0.775708145
HB2	0.674857625	0.447406489	0.503552027	0.564507745	0.581284117	0.704504318	0.612551301	0.646342109	0	0.530532563	0.604276965	0.554316678	0.618879485	0.648754097	0.5746635	0.584092447	0.497228323	0.568063373	0.651479568	0.594978905	0.592824364	0.612610234	0.21458495	0.552672874	0.64799253	0.564463026	0.587164999	0.609078132	0.60348285	0.752128373	0.469047743	0.677977516	0.595923513	0.58472678	0.555810318	0.640510567	0.395857187	0.532445749	0.585577124	0.531297311	0.585054899	0.573160622	0.597486835	0.530343677	0.535167626	0.69793149	0.560016972	0.644471425	0.555778756	0.477833485	0.614483944	0.648984758	0.598837989	0.554337447	0.467700854	0.561663069	0.602539124	0.810541914	0.804080328	0.805080298	0.815513405	0.793764988	0.795219294	0.805830407	0.802406586	0.786429366	0.780719547	0.78927734	0.785927737	0.789828367	0.789332762	0.767746156	0.758542876	0.807544589	0.791211124	0.794723645	0.808833081	0.705012545	0.690286752	0.73699422	0.709709055	0.773876631	0.787625054	0.708511876	0.685876798	0.766723659	0.771302618	0.87374928	0.861600084	0.770853206	0.761423201	0.766456601	0.757233369	0.798597833	0.797483458	0.774372523	0.789875322	0.780445427	0.795843005	0.772274111	0.777241527	0.769957537	0.794308166	0.804979937	0.796853109	0.781179016	0.789035236	0.811618302
HB3	0.683281026	0.825230577	0.217767006	0.610653804	0.463240692	0.554976007	0.502410396	0.631573322	0.530532563	0	0.632479975	0.459007778	0.491987012	0.643299402	0.718956337	0.759214533	0.195336815	0.617095095	0.610233733	0.756225701	0.573615275	0.538354997	0.445070423	0.396296101	0.61230576	0.517764892	0.551082296	0.626483251	0.532073463	0.853975853	0.22308581	0.655867907	0.4165651	0.53593947	0.55542707	0.562978207	0.459184209	0.31095014	0.598294647	0.719852554	0.658933445	0.599477397	0.488818765	0.389656605	0.574929435	0.535750315	0.539579985	0.59115036	0.379096295	0.547040482	0.574085158	0.510523516	0.525875349	0.442971415	0.414506238	0.545022284	0.480130176	0.721744701	0.723989682	0.723860448	0.70634454	0.653548387	0.66711525	0.699887297	0.699621999	0.668056001	0.666002477	0.670734986	0.675219298	0.685591375	0.693662543	0.612257248	0.619450317	0.688461947	0.670825079	0.682635719	0.660750369	0.635825075	0.621161513	0.581197061	0.579636044	0.647383815	0.689032754	0.60689508	0.611607385	0.67645949	0.676394012	0.825618263	0.794885427	0.711841754	0.704518748	0.686077572	0.679147803	0.703691797	0.699775625	0.65	0.69180719	0.64892713	0.708796764	0.639231461	0.678082562	0.676465863	0.690395843	0.705236299	0.691839287	0.627830832	0.646951878	0.739149259
