Sample_ID	Model	Time_point	Host_ID	Group
HA1	Human	Day 0	H01	Probiotic
HA2	Human	Day 0	H02	Probiotic
HA3	Human	Day 0	H03	Probiotic
HA4	Human	Day 0	H04	Probiotic
HA5	Human	Day 0	H05	Probiotic
HA6	Human	Day 0	H06	Probiotic
HA7	Human	Day 0	H07	Probiotic
HB1	Human	Day 3	H01	Probiotic
HB2	Human	Day 3	H02	Probiotic
HB3	Human	Day 3	H03	Probiotic
HB4	Human	Day 3	H04	Probiotic
HB5	Human	Day 3	H05	Probiotic
HB6	Human	Day 3	H06	Probiotic
HB7	Human	Day 3	H07	Probiotic
HC1	Human	Day 7	H01	Probiotic
HC2	Human	Day 7	H02	Probiotic
HC3	Human	Day 7	H03	Probiotic
HC4	Human	Day 7	H04	Probiotic
HC5	Human	Day 7	H05	Probiotic
HC6	Human	Day 7	H06	Probiotic
HC7	Human	Day 7	H07	Probiotic
HD1	Human	Day 14	H01	Probiotic
HD2	Human	Day 14	H02	Probiotic
HD3	Human	Day 14	H03	Probiotic
HD4	Human	Day 14	H04	Probiotic
HD5	Human	Day 14	H05	Probiotic
HD6	Human	Day 14	H06	Probiotic
HD7	Human	Day 14	H07	Probiotic
HE1	Human	Day 21	H01	Probiotic
HE2	Human	Day 21	H02	Probiotic
HE3	Human	Day 21	H03	Probiotic
HE4	Human	Day 21	H04	Probiotic
HE5	Human	Day 21	H05	Probiotic
HE6	Human	Day 21	H06	Probiotic
HE7	Human	Day 21	H07	Probiotic
HF1	Human	Day 28	H01	Probiotic
HF2	Human	Day 28	H02	Probiotic
HF3	Human	Day 28	H03	Probiotic
HF4	Human	Day 28	H04	Probiotic
HF5	Human	Day 28	H05	Probiotic
HF6	Human	Day 28	H06	Probiotic
HF7	Human	Day 28	H07	Probiotic
VA1	Human	Day 0	H08	Placebo
VA2	Human	Day 0	H09	Placebo
VA3	Human	Day 0	H10	Placebo
VA4	Human	Day 0	H11	Placebo
VA5	Human	Day 0	H12	Placebo
VD1	Human	Day 14	H08	Placebo
VD2	Human	Day 14	H09	Placebo
VD3	Human	Day 14	H10	Placebo
VD4	Human	Day 14	H11	Placebo
VD5	Human	Day 14	H12	Placebo
VF1	Human	Day 28	H08	Placebo
VF2	Human	Day 28	H09	Placebo
VF3	Human	Day 28	H10	Placebo
VF4	Human	Day 28	H11	Placebo
VF5	Human	Day 28	H12	Placebo
MA1	Mouse	Day 0	M01	Probiotic
MA2	Mouse	Day 0	M02	Probiotic
MA3	Mouse	Day 0	M03	Probiotic
MA4	Mouse	Day 0	M04	Probiotic
MA5	Mouse	Day 0	M05	Probiotic
MA6	Mouse	Day 0	M06	Probiotic
MB1	Mouse	Day 3	M01	Probiotic
MB2	Mouse	Day 3	M02	Probiotic
MB3	Mouse	Day 3	M03	Probiotic
MB4	Mouse	Day 3	M04	Probiotic
MB5	Mouse	Day 3	M05	Probiotic
MB6	Mouse	Day 3	M06	Probiotic
MC1	Mouse	Day 7	M01	Probiotic
MC2	Mouse	Day 7	M02	Probiotic
MC3	Mouse	Day 7	M03	Probiotic
MC4	Mouse	Day 7	M04	Probiotic
MC5	Mouse	Day 7	M05	Probiotic
MC6	Mouse	Day 7	M06	Probiotic
MD1	Mouse	Day 14	M01	Probiotic
MD2	Mouse	Day 14	M02	Probiotic
MD3	Mouse	Day 14	M03	Probiotic
MD4	Mouse	Day 14	M04	Probiotic
MD5	Mouse	Day 14	M05	Probiotic
MD6	Mouse	Day 14	M06	Probiotic
ME1	Mouse	Day 21	M01	Probiotic
ME2	Mouse	Day 21	M02	Probiotic
ME3	Mouse	Day 21	M03	Probiotic
ME4	Mouse	Day 21	M04	Probiotic
ME5	Mouse	Day 21	M05	Probiotic
ME6	Mouse	Day 21	M06	Probiotic
MF1	Mouse	Day 28	M01	Probiotic
MF2	Mouse	Day 28	M02	Probiotic
MF3	Mouse	Day 28	M03	Probiotic
MF4	Mouse	Day 28	M04	Probiotic
MF5	Mouse	Day 28	M05	Probiotic
MF6	Mouse	Day 28	M06	Probiotic
YA1	Mouse	Day 0	M07	Placebo
YA2	Mouse	Day 0	M08	Placebo
YA3	Mouse	Day 0	M09	Placebo
YA4	Mouse	Day 0	M10	Placebo
YA5	Mouse	Day 0	M11	Placebo
YD1	Mouse	Day 14	M07	Placebo
YD2	Mouse	Day 14	M08	Placebo
YD3	Mouse	Day 14	M09	Placebo
YD4	Mouse	Day 14	M10	Placebo
YD5	Mouse	Day 14	M11	Placebo
YF1	Mouse	Day 28	M07	Placebo
YF2	Mouse	Day 28	M08	Placebo
YF3	Mouse	Day 28	M09	Placebo
YF4	Mouse	Day 28	M10	Placebo
YF5	Mouse	Day 28	M11	Placebo
