Species	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5	MA1	MA2	MA3	MA4	MA5	MA6	MB1	MB2	MB3	MB4	MB5	MB6	MC1	MC2	MC3	MC4	MC5	MC6	MD1	MD2	MD3	MD4	MD5	MD6	ME1	ME2	ME3	ME4	ME5	ME6	MF1	MF2	MF3	MF4	MF5	MF6	YA1	YA2	YA3	YA4	YA5	YD1	YD2	YD3	YD4	YD5	YF1	YF2	YF3	YF4	YF5
Bacteroides thetaiotaomicron	0.37	0.05	1.81	0.68	3.4	1.78	2.41	0.82	1.18	2.07	0.21	3.12	1.82	0.22	0.25	0.03	1.84	0.31	0.75	0.13	1.9	0.99	1.33	1.89	0.72	1.07	1.81	0.66	1.27	0.09	1.93	0.55	1.98	2.15	2.66	1.35	2.41	1.93	0.36	0.35	0.81	1.64	1.775	1.312	0.837	6.225	0.898	0.922	1.47	0.704	11.872	1.008	0.958	1.859	2.617	1.743	1.292	17.09	10.61	14.97	19.11	21.27	22.24	26.45	20.31	29.48	23.53	17.39	15.97	20.61	14.53	12.51	15.73	22.74	22.71	16.22	17.57	9.77	8.65	10.62	10.21	22.97	12.44	9.98	11.99	9.36	8.89	3.93	6.28	10.08	11.85	11.33	10.49	21.38	19.42	25.54	21.19	25.47	15.22	28.45	17.78	15.84	11.77	15.03	15.98	20.68	13.46	11.93
Bacteroides fragilis	0.97	0.3	1.8	1.87	5.83	4.06	2.8	1.15	2.63	2.32	1.39	5.85	3.64	0.45	0.4	0.18	2.17	1.22	2.02	0.27	2.86	1.39	2.25	1.59	2.84	3.63	3.83	1.63	2.07	0.75	2.52	3.8	5.02	3.09	2.78	1.98	4.13	2.28	1.8	1.3	1.32	2.58	2.664	1.365	2.752	4.224	2.838	1.76	1.381	2.69	3.661	1.304	2.67	1.756	1.7	3.213	1.974	1.67	1.24	1.75	1.85	2	1.99	2.15	1.76	2.18	1.81	1.84	1.51	2.03	1.41	1.94	2.4	1.91	2.03	1.54	1.59	3.05	2.65	1.91	2.15	2.62	1.75	2.32	2.46	1.56	1.52	0.98	0.99	1.67	1.84	1.68	1.62	1.95	1.72	2.55	2	2.32	1.69	2.13	1.91	1.95	1.68	1.58	1.82	1.92	1.37	1.24
Bacteroides caecimuris	0.15	0.02	0.48	0.36	0.98	1.14	0.48	0.17	0.23	0.67	0.2	1.06	0.67	0.1	0.06	0.02	0.68	0.18	0.38	0.05	0.5	0.33	0.33	0.42	0.62	0.68	0.63	0.19	0.4	0.03	0.7	0.82	0.84	0.58	0.62	0.32	0.45	0.51	0.36	0.12	0.31	0.41	0.755	0.394	0.365	1.236	0.469	0.474	0.398	0.359	3.032	0.275	0.324	0.245	0.473	0.553	0.386	0.95	0.69	1.19	1.14	1.06	1.06	0.97	0.91	1.11	0.91	1.14	0.86	1.11	0.7	12.4	15.47	0.92	1.02	0.8	1.02	13.94	14.64	10.91	10.87	1.48	1.23	11.09	10.5	5.32	5.4	1.49	1.88	4.33	4.94	4.53	4.02	1.02	1.03	1.7	1.24	1.48	1.04	4.5	1.3	1.29	6.45	0.76	1.06	1.31	0.97	1
Bacteroides uniformis	2.91	0.04	1.21	1.99	2.01	8.31	3.45	3.87	0.5	1.77	1.47	1.87	8.23	0.56	2.03	0.29	1.55	1.29	0.77	1.13	3.13	5.2	0.8	2.91	3.66	1.18	7.81	0.92	2.7	0.14	1.3	2.69	1.39	11.94	4.1	2.44	0.8	2.19	1.95	0.18	6.06	2.45	5.674	1.263	2.062	9.448	3.565	2.895	1.599	1.506	5.172	4.893	7.057	0.567	3.793	4.078	3.637	0.71	0.54	0.74	0.74	0.82	0.76	0.82	0.7	0.87	0.8	0.72	0.6	0.94	0.65	0.54	0.57	0.89	0.9	0.6	0.63	0.75	0.68	0.46	0.47	0.96	0.81	0.87	0.65	0.32	0.32	0.4	0.3	0.42	0.41	0.4	0.38	0.87	0.78	1.2	0.84	1.04	0.72	0.96	0.88	0.77	0.78	0.64	0.84	0.7	0.52	0.63
Bacteroides ovatus	0.44	0.22	1.19	8.39	4.21	6.52	1.54	1.11	1.24	1.7	2.69	3.11	2.42	0.42	0.21	0.23	2.42	1.76	0.91	0.23	1.24	1.86	1.57	1.52	9.95	1.43	1.5	0.66	1.05	0.19	1.61	15.28	1.81	1.17	1.61	1.37	0.83	0.98	5.85	0.3	0.92	1.09	4.389	0.751	4.463	3.008	0.94	7.797	0.768	0.689	8.802	1.292	1.237	0.42	0.566	1.728	0.515	0.41	0.3	0.39	0.43	0.49	0.48	0.54	0.44	0.59	0.5	0.43	0.36	0.49	0.36	3.5	4.33	0.54	0.61	0.38	0.39	4.08	4.21	3.13	3.17	0.63	0.41	3.11	3.02	1.58	1.61	0.48	0.48	1.26	1.44	1.33	1.2	0.48	0.43	0.62	0.46	0.57	0.39	1.26	0.49	0.46	2	0.4	0.48	0.47	0.35	0.32
Bacteroides salanitronis	0.25	0.01	0.71	0.04	2.21	0.93	1.48	0.1	0.28	0.87	0.02	2.66	0.65	0.13	0.05	0.01	0.77	0.03	0.87	0.02	1.15	0.36	0.31	0.41	0.07	1.98	0.61	0.25	0.6	0.03	0.93	0.06	2.13	0.41	0.94	0.52	0.61	0.76	0.04	0.4	0.15	0.33	0.297	1.003	0.358	1.119	1.754	0.155	0.977	1.56	1.246	0.199	0.934	0.517	0.485	0.331	1.592	0.31	0.23	0.34	0.34	0.36	0.34	0.33	0.3	0.36	0.33	0.33	0.27	0.39	0.27	0.28	0.3	0.38	0.37	0.26	0.29	0.39	0.36	0.26	0.28	0.4	0.35	0.41	0.34	0.19	0.18	0.16	0.16	0.23	0.24	0.23	0.22	0.39	0.35	0.51	0.38	0.44	0.33	0.44	0.38	0.35	0.31	0.26	0.34	0.35	0.26	0.26
Bacteroides vulgatus	0.69	0.73	3.4	14.73	11.79	2.63	31.2	0.5	9.5	5.94	24.14	12.81	5.05	3.44	0.24	1.31	4.83	18.48	2.41	0.11	23.27	1.07	6.6	3.2	27.03	12.39	8.11	19.41	1.38	2.08	7.71	28.68	6.61	8.11	21.64	1.71	9.62	5.43	14.27	2.68	2.16	28.45	16.71	1.392	7.92	3.978	7.69	20.765	1.151	11.24	10.705	4.901	25.238	1.498	10.66	26.639	7.554	0.32	0.24	0.34	0.35	0.42	0.39	0.4	0.34	0.41	0.35	0.38	0.31	0.4	0.28	3.1	4.84	0.43	0.48	0.3	0.31	12.79	9.44	5.99	7.96	0.52	0.36	7.34	9.73	6.67	6.32	1.13	0.32	7.49	8.45	7.61	7.64	0.38	0.33	0.5	0.38	0.44	0.35	1.04	0.39	0.39	0.41	0.33	0.39	0.37	0.27	0.3
Bacteroides dorei	0.13	0.03	1	3.37	0.86	8.25	1.38	0.11	0.44	1.48	3.8	1.01	14.64	0.25	0.05	0.05	1.47	4.3	0.28	0.24	1.19	0.22	0.33	0.99	9.72	0.83	21.9	0.74	0.21	0.08	1.97	12.54	0.67	12.37	1.03	0.19	0.59	1.46	7.14	0.18	4.71	1.1	0.5	0.26	0.382	9.584	1.006	1.683	0.232	0.837	0.699	0.295	0.91	0.154	0.477	1.62	0.615	0.23	0.17	0.23	0.24	0.27	0.26	0.29	0.24	0.29	0.26	0.24	0.2	0.29	0.21	1.96	3.05	0.29	0.31	0.21	0.22	8.26	6.07	3.78	5.08	0.35	0.24	4.76	6.3	4.26	4.07	0.67	0.12	4.82	5.43	4.91	4.89	0.28	0.24	0.37	0.26	0.33	0.23	0.69	0.28	0.26	0.26	0.23	0.29	0.23	0.17	0.19
Bacteroides caccae	0.74	0.14	0.67	1.01	1.26	3.08	2.04	1.28	0.52	0.92	0.32	1	1.14	0.75	0.52	0.02	0.96	0.33	0.41	0.08	3.57	1.31	0.99	0.75	2.04	0.75	2.36	0.69	2.01	0.28	0.9	4.07	1.5	2.4	2.79	1.37	0.88	1.05	1.11	0.23	1.29	2.63	3.628	0.388	2.668	2.489	0.66	0.888	0.386	0.461	4.166	1.766	2.366	0.242	1.423	1.164	0.937	0.19	0.14	0.18	0.2	0.24	0.23	0.25	0.2	0.3	0.24	0.22	0.17	0.23	0.16	2.63	3.23	0.28	0.34	0.18	0.18	2.95	3.09	2.31	2.31	0.29	0.17	2.2	2.17	1.14	1.16	0.27	0.3	0.88	1.03	0.97	0.86	0.22	0.2	0.28	0.22	0.27	0.18	0.85	0.22	0.21	1.32	0.18	0.21	0.21	0.15	0.15
Bacteroides intestinalis	0.3	0.01	0.42	0.04	1.87	3.25	0.3	0.17	0.19	0.6	0.02	1.43	1.15	0.03	0.1	0.03	1.27	0.02	0.51	0.04	0.22	0.91	0.26	4.54	0.1	1.01	0.86	0.07	0.64	0.02	0.56	0.07	1.18	0.93	0.2	0.21	0.48	3.05	0.05	0.24	0.43	0.1	0.563	0.406	0.59	14.608	0.639	0.251	0.404	0.387	0.427	0.203	0.489	0.282	0.745	0.755	0.378	0.15	0.11	0.14	0.16	0.19	0.19	0.2	0.16	0.2	0.17	0.16	0.14	0.19	0.13	0.24	0.3	0.19	0.21	0.14	0.14	0.42	0.36	0.25	0.29	0.25	0.15	0.29	0.32	0.2	0.2	0.09	0.07	0.2	0.23	0.22	0.21	0.18	0.16	0.23	0.17	0.21	0.15	0.21	0.19	0.17	0.18	0.16	0.19	0.16	0.12	0.12
