HUMAN	AA	HA	HB	HC	HD	HE	HF	VA	VD	VF	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5
Bacteroides caccae	a01	-0.00734 	-0.17845 	-1.04612 	0.20322 	0.50968 	0.08992 	0.44069 	0.10689 	0.05315 	-0.224339506	-1.88934727	-0.32371198	0.086715918	0.307877308	1.201695184	0.789715395	0.323625665	-0.577160881	-0.006616022	-1.062668696	0.076765587	0.207793849	-0.210916486	-0.577160881	-3.835257419	0.035943592	-1.031897038	-0.814832533	-2.448963058	1.349331183	0.346792724	0.066715251	-0.210916486	0.789715395	-0.210916486	0.935427206	-0.294298095	0.774900309	-1.196200089	-0.028594929	1.480408586	0.482230695	0.952234324	1.102807183	0.391576327	-0.051067785	0.125555751	0.181125602	-1.392910383	0.331407805	1.043749433	1.365447119	-0.869984353	1.058094715	0.98864661	-0.338749857	-0.042017949	-0.875152323	-0.697591649	1.50372193	0.645482689	0.937966352	-1.342051966	0.429532906	0.228627936	0.01169359
Bacteroides caecimuris	a02	-0.11540 	-0.07375 	-0.87175 	0.18697 	0.17214 	-0.06227 	0.50119 	0.47949 	0.08900 	-0.842820459	-2.85772348	0.320330351	0.032648278	1.034096818	1.185327788	0.320330351	-0.717657316	-0.415376444	0.653821959	-0.555138387	1.112568434	0.653821959	-1.248285567	-1.759111191	-2.85772348	0.668637045	-0.660498902	0.086715499	-1.941432748	0.361152345	-0.054363099	-0.054363099	0.186798958	0.576263725	0.668637045	0.592264066	-0.606431681	0.138008794	-2.452258372	0.697624582	0.855848587	0.879946139	0.50957235	0.576263725	-0.085134757	0.255791829	0.380954972	0.032648278	-1.065964011	-0.116883456	0.162701406	0.773261996	0.122895156	0.0464416	1.266179885	0.297147015	0.307751568	0.132996252	0.029866635	2.163521993	-0.236684656	-0.072712237	-0.352197543	0.305639635	0.461902248	0.102381616
Bacteroides cellulosilyticus	a03	-0.03670 	-0.06466 	-1.04132 	0.43942 	-0.14545 	-0.05468 	0.71650 	0.09764 	0.45063 	-0.301138779	-3.479192609	0.769302633	-1.53328246	1.396004714	2.381593614	0.509791438	-0.077995227	-0.53475363	1.155536379	-2.38058032	0.902834026	1.882099557	-1.399751067	-1.399751067	-2.786045428	1.115927241	-2.38058032	-0.045205405	-1.869754697	0.076155452	1.115927241	-0.301138779	1.524753697	-0.388150156	0.631681255	1.332991746	-0.840135279	0.076155452	-3.479192609	0.769302633	-0.914243252	0.98671551	1.193636225	0.349448787	0.304997025	0.327469881	1.829075088	-1.53328246	-1.081297336	0.304997025	-0.53475363	1.388341841	0.248907558	0.174059667	1.057698736	0.713487854	-0.383615	0.275006311	0.246500818	0.529957107	-0.179658881	0.938442453	0.020340673	0.161021673	0.931178499	0.202158579
Bacteroides dorei	a04	-0.09520 	0.19859 	-0.75568 	0.51777 	0.37841 	0.20999 	0.05041 	-0.34174 	-0.34410 	-1.842512373	-3.308849441	0.197708456	1.4126212	0.046885566	2.307921656	0.519791955	-2.009566457	-0.623272096	0.589750544	1.532709523	0.207658787	2.881465964	-1.188585905	-2.798023818	-2.798023818	0.582970857	1.656323479	-1.07525722	-1.2294079	0.371661763	-1.316419277	-0.910954169	0.18765812	2.471894074	0.011378878	3.284195093	-0.103396637	-1.362939292	-2.328020188	0.875741999	2.726631991	-0.202769111	2.712982642	0.227267258	-1.463022751	-0.329924286	0.576144892	2.163421232	-1.517089972	1.747396364	0.293018636	-0.495438725	-1.149365192	-0.764626215	2.457803497	0.203690528	0.718286371	-1.263309451	0.019777247	-0.160396081	-1.023071467	0.103397776	-1.673094221	-0.542530332	0.680134605	-0.288424555
Bacteroides fragilis	a05	-0.05089 	0.00118 	-0.82032 	0.17702 	0.27627 	0.06740 	0.31039 	0.04112 	0.13756 	-0.677503284	-1.851016881	-0.059257412	-0.021105646	1.115972924	0.754138897	0.38257534	-0.507282134	0.319939769	0.194523109	-0.31774033	1.119397584	0.644939605	-1.445551773	-1.563334809	-2.361842505	0.127683091	-0.448193218	0.056053435	-1.956377397	0.403777548	-0.31774033	0.163886139	-0.183310061	0.396759975	0.642188571	0.695820726	-0.158464062	0.08050453	-0.934726149	0.277214825	0.68795699	0.966385857	0.481127014	0.375406851	0.036052768	0.77123333	0.177131366	-0.059257412	-0.384679812	-0.36941234	0.300745322	0.332784676	-0.335889648	0.365283843	0.79373847	0.396055502	-0.081730268	-0.324236202	0.342497117	0.650692257	-0.381607613	0.335034396	-0.084005582	-0.116415826	0.520161003	0.033017864
Bacteroides intestinalis	a06	-0.15372 	-0.37797 	-0.95281 	0.45538 	-0.12786 	-0.07572 	1.22016 	0.03742 	0.46822 	-0.029853722	-3.431051104	0.306618514	-2.044756743	1.800057513	2.352774078	-0.029853722	-0.59783776	-0.486612125	0.663293458	-2.737903924	1.531793526	1.313881024	-2.332438815	-1.128466011	-2.332438815	1.413135982	-2.737903924	0.500774529	-2.044756743	-0.340008651	1.079808402	-0.172954566	2.687046094	-1.128466011	1.184069413	1.023296192	-1.485140955	0.727831979	-2.737903924	0.594300587	-1.485140955	1.33963352	1.101548389	-0.435318831	-0.386528666	0.440149907	2.289260673	-1.821613192	-0.252997274	0.330149012	-1.128466011	0.599643431	0.272716963	0.64648634	3.855688406	0.726268257	-0.208183258	0.267778681	0.224788496	0.323147816	-0.420430218	0.458726292	-0.091729126	0.879748021	0.893081552	0.201257999
Bacteroides ovatus	a07	0.22065 	0.11787 	-0.72793 	0.28145 	0.09314 	-0.21313 	0.43625 	0.46034 	-0.57747 	-1.130326684	-1.823473865	-0.135392825	1.817694388	1.128116516	1.565528244	0.122436284	-0.204986117	-0.094234752	0.221282119	0.680195062	0.825276594	0.574421408	-1.1768467	-1.86999388	-1.779022102	0.574421408	0.255967677	-0.403656812	-1.779022102	-0.094234752	0.311230356	0.141729487	0.109364203	1.988226419	0.048328312	0.096118976	-0.724861576	-0.260555968	-1.970077339	0.166888047	2.417198652	0.283980713	-0.152342383	0.166888047	0.005464608	-0.49567571	-0.329548839	1.457095529	-1.513318936	-0.392727741	-0.223168436	1.169755279	-0.595695759	1.186475054	0.791929274	-0.371221536	1.744392912	-0.573311678	-0.68186014	1.865632836	-0.053154727	-0.096657039	-1.1768467	-0.878507333	0.237618538	-0.97293451
Bacteroides salanitronis	a08	-0.11911 	-0.21613 	-1.09625 	0.09506 	0.07227 	-0.13672 	0.77387 	0.51917 	0.66821 	-0.299639553	-3.518515378	0.744164499	-2.132221017	1.879647323	1.014084115	1.478696895	-1.215930285	-0.186310868	0.94739274	-2.825368198	2.06498093	0.655871892	-0.953566021	-1.909077466	-3.518515378	0.825290044	-2.41990309	0.94739274	-2.825368198	1.22641675	0.06500356	-0.084528174	0.195056688	-1.572605229	1.769751652	0.592358486	-0.299639553	0.575829184	-2.41990309	1.014084115	-1.726755909	1.842776787	0.195056688	1.024779404	0.43272834	0.592358486	0.812217962	-2.132221017	0.170364076	-0.810465177	-0.022007817	-0.127368333	1.089650317	0.059432515	1.199090237	1.648553702	-0.777675354	1.063386181	1.531340629	1.306593228	-0.527795647	1.018375967	0.426942403	0.36304842	-0.018982096	1.551645895
Bacteroides thetaiotaomicron	a09	-0.14843 	-0.08288 	-1.01100 	0.12742 	0.05442 	0.01615 	0.48673 	0.49609 	0.47923 	-0.985209255	-2.986689255	0.602369864	-0.376619462	1.23281845	0.585656383	0.888669766	-0.18940792	0.174557457	0.736591626	-1.551604729	1.146876021	0.60787952	-1.505084714	-1.377251342	-3.497514879	0.61880859	-1.162139963	-0.278639054	-2.03117781	0.650896905	-0.001007317	0.294221961	0.645619848	-0.319461048	0.076701667	0.602369864	-0.406472425	0.248059919	-2.39890259	0.666563022	-0.588793982	0.692139864	0.774510861	0.987369142	0.309147611	0.888669766	0.666563022	-1.012608229	-1.040779106	-0.201678013	0.503739261	0.582843442	0.280595709	-0.16888819	1.837616461	-0.098542192	-0.072167037	0.39430542	-0.341933904	2.483225705	0.017011188	-0.033864482	0.629081728	0.971071642	0.564650785	0.265234424
Bacteroides uniformis	a10	-0.27008 	-0.12890 	-0.50109 	0.17944 	-0.02476 	-0.22414 	0.57449 	0.36707 	0.41580 	0.400641779	-3.886387127	-0.476890942	0.020623337	0.03062342	1.449948307	0.570862929	0.685743205	-1.360658482	-0.096531755	-0.282248901	-0.041572871	1.440274713	-1.247329797	0.040524491	-1.905385658	-0.229256371	-0.412869083	-0.928876066	-0.545293669	0.473521703	0.981147324	-0.890654853	0.400641779	0.629951846	-0.501996863	1.387893662	-0.750892911	0.325740471	-2.633624158	-0.405147037	0.322029892	-0.338207555	1.812382806	0.743475672	0.224486737	-0.890654853	0.116390242	0.000318071	-2.38230973	1.134198498	0.228576723	1.068383035	-0.434021458	0.056165084	1.578291777	0.603652752	0.395473809	-0.198132868	-0.258054172	0.975748159	0.92029431	1.28650873	-1.234907277	0.665645961	0.73809537	0.623647864
