HB	x	y	colour
A0001	0	-0.007342136	H
A0002	3	-0.178453855	H
A0003	7	-1.04611945	H
A0004	14	0.203217073	H
A0005	21	0.509683726	H
A0006	28	0.089919536	H
A0007	0	-0.115401479	H
A0008	3	-0.073749338	H
A0009	7	-0.871751633	H
A0010	14	0.186972274	H
A0011	21	0.172143686	H
A0012	28	-0.062269391	H
A0013	0	-0.036703064	H
A0014	3	-0.064658612	H
A0015	7	-1.041322032	H
A0016	14	0.439418532	H
A0017	21	-0.145453893	H
A0018	28	-0.054684915	H
A0019	0	-0.095204712	H
A0020	3	0.198594337	H
A0021	7	-0.755679522	H
A0022	14	0.517765155	H
A0023	21	0.378413614	H
A0024	28	0.209992016	H
A0025	0	-0.050885152	H
A0026	3	0.001175119	H
A0027	7	-0.820319122	H
A0028	14	0.177020137	H
A0029	21	0.276267131	H
A0030	28	0.067401889	H
A0031	0	-0.153723598	H
A0032	3	-0.377974945	H
A0033	7	-0.95280909	H
A0034	14	0.455379796	H
A0035	21	-0.127864176	H
A0036	28	-0.075720793	H
A0037	0	0.22065458	H
A0038	3	0.117872516	H
A0039	7	-0.727934366	H
A0040	14	0.281448025	H
A0041	21	0.093139967	H
A0042	28	-0.213125647	H
A0043	0	-0.119111874	H
A0044	3	-0.21613283	H
A0045	7	-1.096252085	H
A0046	14	0.095056776	H
A0047	21	0.07226674	H
A0048	28	-0.136717878	H
A0049	0	-0.148429072	H
A0050	3	-0.082884677	H
A0051	7	-1.011002507	H
A0052	14	0.12742465	H
A0053	21	0.054420891	H
A0054	28	0.016150616	H
A0055	0	-0.270082614	H
A0056	3	-0.128903413	H
A0057	7	-0.501090665	H
A0058	14	0.179441426	H
A0059	21	-0.024764273	H
A0060	28	-0.224142045	H
A0061	0	-0.248597819	H
A0062	3	0.012297739	H
A0063	7	-0.9555375	H
A0064	14	0.306839544	H
A0065	21	0.238095564	H
A0066	28	0.05882625	H
A0067	0	0.03083657	H
A0068	3	0.033074889	H
A0069	7	-0.794000339	H
A0070	14	0.148549469	H
A0071	21	0.057773756	H
A0072	28	-0.255136076	H
A0073	0	-0.733364678	B
A0074	3	-0.577536891	B
A0075	7	0.322186313	B
A0076	14	0.983759853	B
A0077	21	0.713414377	B
A0078	28	0.442470312	B
A0079	0	-0.697011716	B
A0080	3	-0.719291314	B
A0081	7	0.126578754	B
A0082	14	0.951605464	B
A0083	21	0.755519144	B
A0084	28	0.468958651	B
A0085	0	-0.182611248	B
A0086	3	-0.109018491	B
A0087	7	0.121075457	B
A0088	14	0.293249681	B
A0089	21	0.198150797	B
A0090	28	-0.166092086	B
A0091	0	-0.905522923	B
A0092	3	-0.820799736	B
A0093	7	-0.009633135	B
A0094	14	1.192789592	B
A0095	21	1.189744259	B
A0096	28	1.214022129	B
A0097	0	-0.052811756	B
A0098	3	0.020736635	B
A0099	7	0.057338743	B
A0100	14	0.13281666	B
A0101	21	0.087837668	B
A0102	28	-0.251222115	B
A0103	0	-0.175314367	B
A0104	3	-0.07490717	B
A0105	7	0.103207547	B
A0106	14	0.287853198	B
A0107	21	0.215511104	B
A0108	28	-0.174738263	B
A0109	0	-0.597269748	B
A0110	3	-0.463119637	B
A0111	7	0.269616171	B
A0112	14	0.828996962	B
A0113	21	0.594125852	B
A0114	28	0.223361182	B
A0115	0	0.030903906	B
A0116	3	0.037236229	B
A0117	7	0.06577433	B
A0118	14	-0.01398075	B
A0119	21	-0.037947942	B
A0120	28	-0.410232723	B
A0121	0	0.121616732	B
A0122	3	0.361487497	B
A0123	7	0.157496774	B
A0124	14	-0.251769955	B
A0125	21	-0.237484268	B
A0126	28	-0.586545513	B
A0127	0	0.076052133	B
A0128	3	0.122204338	B
A0129	7	0.099538251	B
A0130	14	-0.114611632	B
A0131	21	-0.101728226	B
A0132	28	-0.545524961	B
A0133	0	-0.932499865	B
A0134	3	-0.860999217	B
A0135	7	-0.02493108	B
A0136	14	1.198712761	B
A0137	21	1.207267739	B
A0138	28	1.350445284	B
A0139	0	-0.944631029	B
A0140	3	-0.774355821	B
A0141	7	0.333389083	B
A0142	14	1.199549541	B
A0143	21	0.945991414	B
A0144	28	0.808818558	B
A0145	0	0.44069 	G
A0146	14	0.50119 	G
A0147	28	0.71650 	G
A0148	0	0.05041 	G
A0149	14	0.31039 	G
A0150	28	1.22016 	G
A0151	0	0.43625 	G
A0152	14	0.77387 	G
A0153	28	0.48673 	G
A0154	0	0.57449 	G
A0155	14	0.03555 	G
A0156	28	0.63527 	G
A0157	0	0.10689 	G
A0158	14	0.47949 	G
A0159	28	0.09764 	G
