HBI	x	y	colour
A0001	0	-0.076148246	H
A0002	3	0.120950768	H
A0003	7	0.506056326	H
A0004	14	-0.045684774	H
A0005	21	0.155413604	H
A0006	28	0.023941875	H
A0007	0	0.955092344	H
A0008	3	1.469327819	H
A0009	7	-0.076354793	H
A0010	14	-1.089222913	H
A0011	21	-1.747104368	H
A0012	28	-1.121100563	H
A0013	0	0.430302268	H
A0014	3	1.193534122	H
A0015	7	0.669615919	H
A0016	14	0.393994809	H
A0017	21	-0.051691334	H
A0018	28	0.837305157	H
A0019	0	0.146617944	H
A0020	3	0.333365756	H
A0021	7	0.432713539	H
A0022	14	0.231923365	H
A0023	21	-0.463438699	H
A0024	28	0.19380642	H
A0025	0	0.013298124	H
A0026	3	0.455885576	H
A0027	7	0.706604655	H
A0028	14	-0.068296689	H
A0029	21	-0.615162223	H
A0030	28	0.164855913	H
A0031	0	0.714159977	H
A0032	3	0.506173346	H
A0033	7	1.054110331	H
A0034	14	0.46436763	H
A0035	21	-0.390841731	H
A0036	28	0.538576585	H
A0037	0	0.142924905	H
A0038	3	0.414633228	H
A0039	7	0.78894343	H
A0040	14	0.705707964	H
A0041	21	-1.329805664	H
A0042	28	0.907934211	H
A0043	0	-0.135446182	B
A0044	3	1.015846365	B
A0045	7	0.248318	B
A0046	14	-0.519210364	B
A0047	21	-0.519210364	B
A0048	28	-0.902974546	B
A0049	0	0.582255882	B
A0050	3	-0.483899061	B
A0051	7	-0.283236927	B
A0052	14	-0.052187867	B
A0053	21	-0.167712397	B
A0054	28	-0.052187867	B
A0055	0	0.173799349	B
A0056	3	0.289323879	B
A0057	7	0.173799349	B
A0058	14	0.173799349	B
A0059	21	0.058274819	B
A0060	28	-1.47678191	B
A0061	0	0.065135193	B
A0062	3	0.132712711	B
A0063	7	-0.050389337	B
A0064	14	0.065135193	B
A0065	21	-0.002442325	B
A0066	28	-0.580064975	B
A0067	0	0.654656546	B
A0068	3	0.270892364	B
A0069	7	-0.112871818	B
A0070	14	-0.496636	B
A0071	21	-0.880400183	B
A0072	28	-1.264164365	B
A0073	0	0.04064051	B
A0074	3	0.175795546	B
A0075	7	-0.007306502	B
A0076	14	-0.07488402	B
A0077	21	-0.007306502	B
A0078	28	-0.42145761	B
A0079	0	0.180594909	B
A0080	3	0.564359091	B
A0081	7	-0.586933455	B
A0082	14	0.180594909	B
A0083	21	-0.203169273	B
A0084	28	-1.354461819	B
A0085	0	0.045901723	A
A0086	14	0.246937618	A
A0087	28	0.18393546	A
A0088	0	0.197216163	A
A0089	14	1.165527956	A
A0090	28	0.890363344	A
A0091	0	-1.181883422	A
A0092	14	-1.332189209	A
A0093	28	-1.052994337	A
A0094	0	-0.252780634	A
A0095	14	-0.172712217	A
A0096	28	-0.033827862	A
A0097	0	0.291722285	A
A0098	14	-0.041742504	A
A0099	28	-0.306335777	A
A0100	0	-0.959943675	A
A0101	14	-1.205197844	A
A0102	28	-1.276023073	A
A0103	0	-0.082262305	A
A0104	14	-0.509941412	A
A0105	28	-0.690269588	A
A0106	0	0.47857651	G
A0107	14	0.47857651	G
A0108	28	0.018059491	G
A0109	0	0.236849309	G
A0110	14	0.155756287	G
A0111	28	0.155756287	G
A0112	0	0.058274819	G
A0113	14	0.335533691	G
A0114	28	0.335533691	G
A0115	0	-0.025547231	G
A0116	14	0.194175227	G
A0117	28	0.275268249	G
A0118	0	1.038420728	G
A0119	14	1.128718183	G
A0120	28	1.038420728	G
A0121	0	0.15616504	G
A0122	14	0.179721648	G
