Sample_ID	Model	Time_point	Host_ID	Group	Sequencing
HA1	Human	Baseline	H01	Probiotic	Metagenomic Sequencing
HA2	Human	Baseline	H02	Probiotic	Metagenomic Sequencing
HA3	Human	Baseline	H03	Probiotic	Metagenomic Sequencing
HA4	Human	Baseline	H04	Probiotic	Metagenomic Sequencing
HA5	Human	Baseline	H05	Probiotic	Metagenomic Sequencing
HA6	Human	Baseline	H06	Probiotic	Metagenomic Sequencing
HA7	Human	Baseline	H07	Probiotic	Metagenomic Sequencing
HB1	Human	Day 3	H01	Probiotic	Metagenomic Sequencing
HB2	Human	Day 3	H02	Probiotic	Metagenomic Sequencing
HB3	Human	Day 3	H03	Probiotic	Metagenomic Sequencing
HB4	Human	Day 3	H04	Probiotic	Metagenomic Sequencing
HB5	Human	Day 3	H05	Probiotic	Metagenomic Sequencing
HB6	Human	Day 3	H06	Probiotic	Metagenomic Sequencing
HB7	Human	Day 3	H07	Probiotic	Metagenomic Sequencing
HC1	Human	Day 7	H01	Probiotic	Metagenomic Sequencing
HC2	Human	Day 7	H02	Probiotic	Metagenomic Sequencing
HC3	Human	Day 7	H03	Probiotic	Metagenomic Sequencing
HC4	Human	Day 7	H04	Probiotic	Metagenomic Sequencing
HC5	Human	Day 7	H05	Probiotic	Metagenomic Sequencing
HC6	Human	Day 7	H06	Probiotic	Metagenomic Sequencing
HC7	Human	Day 7	H07	Probiotic	Metagenomic Sequencing
HD1	Human	Day 14	H01	Probiotic	Metagenomic Sequencing
HD2	Human	Day 14	H02	Probiotic	Metagenomic Sequencing
HD3	Human	Day 14	H03	Probiotic	Metagenomic Sequencing
HD4	Human	Day 14	H04	Probiotic	Metagenomic Sequencing
HD5	Human	Day 14	H05	Probiotic	Metagenomic Sequencing
HD6	Human	Day 14	H06	Probiotic	Metagenomic Sequencing
HD7	Human	Day 14	H07	Probiotic	Metagenomic Sequencing
HE1	Human	Day 21	H01	Probiotic	Metagenomic Sequencing
HE2	Human	Day 21	H02	Probiotic	Metagenomic Sequencing
HE3	Human	Day 21	H03	Probiotic	Metagenomic Sequencing
HE4	Human	Day 21	H04	Probiotic	Metagenomic Sequencing
HE5	Human	Day 21	H05	Probiotic	Metagenomic Sequencing
HE6	Human	Day 21	H06	Probiotic	Metagenomic Sequencing
HE7	Human	Day 21	H07	Probiotic	Metagenomic Sequencing
HF1	Human	Day 28	H01	Probiotic	Metagenomic Sequencing
