	relative_ab	CLR
HA1	0	-2.1611832
HA2	0	-2.1611832
HA3	0	-2.1611832
HA4	0	-2.1611832
HA5	0	-2.1611832
HA6	0	-2.1611832
HA7	0	-2.1611832
HB1	0.3267	1.335324361
HB2	0.24	1.057692625
HB3	0.057	-0.369423731
HB4	0.4845	1.770642433
HB5	1.2078	2.642837845
HB6	0.0196	-1.46803602
HB7	0.1666	0.672030144
HC1	0.7008	2.129276241
HC2	0.0679	-0.215273051
HC3	0.198	0.834549073
HC4	1.2125	2.667130537
HC5	0.0891	0.036041377
HC6	0.049	-0.551745288
HC7	0.3456	1.422335738
HD1	0.19	0.834549073
HD2	0.2254	0.974311016
HD3	0.1386	0.477874129
HD4	0.0679	-0.215273051
HD5	0	-2.1611832
HD6	0.0285	-1.062570912
HD7	0.1728	0.729188558
HE1	1.0355	2.530164682
HE2	0.048	-0.551745288
HE3	0.098	0.141401893
HE4	0.096	0.141401893
HE5	0	-2.1611832
HE6	0	-2.1611832
HE7	0.3528	1.422335738
HF1	0.0784	-0.081741659
HF2	0.5917	1.949690664
HF3	0.1067	0.236712073
HF4	0.0588	-0.369423731
HF5	0.1824	0.783255779
HF6	0	-2.1611832
HF7	0.5044	1.790060518
MA1	0	-2.104660933
MA2	0	-2.104660933
MA3	0	-2.104660933
MA4	0	-2.104660933
MA5	0	-2.104660933
MA6	0	-2.104660933
MB1	0.15	0.603389268
MB2	0.1881	0.839778046
MB3	0.3552	1.506256979
MB4	0.247	1.153435605
MB5	0.342	1.478858005
MB6	0.693	2.143834309
MC1	0.2548	1.153435605
MC2	1.5288	2.945195074
MC3	0.1536	0.667927789
MC4	0.0582	1.312901464
MC5	0.5148	1.846582785
MC6	0.0776	1.025219392
MD1	0.1881	0.839778046
MD2	0.1274	1.460288424
MD3	0.0384	0.718366572
MD4	0.0665	1.158750784
MD5	0.0196	1.411513753
MD6	0.0891	1.092563644
ME1	0.097	0.19792416
ME2	0.1067	0.29323434
ME3	0.2945	1.329326271
ME4	0.0288	-1.006048645
ME5	0.0285	-1.006048645
ME6	0.0576	-0.312901464
MF1	0.0686	-0.158750784
MF2	0.1536	0.667927789
MF3	0.0672	-0.158750784
MF4	0.0485	-0.495223021
MF5	0.049	-0.495223021
MF6	0.0392	-0.718366572
