HUMAN	AA	HA	HB	HC	HD	HE	HF	VA	VD	VF	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5
Bacteroides caccae	a01	1.27714 	0.84714 	0.84143 	1.27000 	1.99286 	1.22286 	1.96660 	1.53340 	1.22640 	0.74	0.14	0.67	1.01	1.26	3.08	2.04	1.28	0.52	0.92	0.32	1	1.14	0.75	0.52	0.02	0.96	0.33	0.41	0.08	3.57	1.31	0.99	0.75	2.04	0.75	2.36	0.69	2.01	0.28	0.9	4.07	1.5	2.4	2.79	1.37	0.88	1.05	1.11	0.23	1.29	2.63	3.628	0.388	2.668	2.489	0.66	0.888	0.386	0.461	4.166	1.766	2.366	0.242	1.423	1.164	0.937
Bacteroides caecimuris	a02	0.51571 	0.44286 	0.26714 	0.45714 	0.57000 	0.35429 	0.64380 	0.90760 	0.39620 	0.15	0.02	0.48	0.36	0.98	1.14	0.48	0.17	0.23	0.67	0.2	1.06	0.67	0.1	0.06	0.02	0.68	0.18	0.38	0.05	0.5	0.33	0.33	0.42	0.62	0.68	0.63	0.19	0.4	0.03	0.7	0.82	0.84	0.58	0.62	0.32	0.45	0.51	0.36	0.12	0.31	0.41	0.755	0.394	0.365	1.236	0.469	0.474	0.398	0.359	3.032	0.275	0.324	0.245	0.473	0.553	0.386
Bacteroides cellulosilyticus	a03	0.91143 	0.65143 	0.26143 	0.70286 	0.51286 	0.53143 	0.73960 	0.37700 	0.55220 	0.24	0.01	0.7	0.07	1.31	3.51	0.54	0.3	0.19	1.03	0.03	0.8	2.13	0.08	0.08	0.02	0.99	0.03	0.31	0.05	0.35	0.99	0.24	1.49	0.22	0.61	1.23	0.14	0.35	0.01	0.7	0.13	0.87	1.07	0.46	0.44	0.45	2.02	0.07	0.11	0.44	0.19	1.3	0.416	0.386	0.934	0.662	0.221	0.427	0.415	0.551	0.271	0.829	0.331	0.381	0.823	0.397
Bacteroides dorei	a04	2.14571 	3.10429 	1.08286 	4.96143 	4.12429 	2.19571 	2.34640 	0.74920 	0.75520 	0.13	0.03	1	3.37	0.86	8.25	1.38	0.11	0.44	1.48	3.8	1.01	14.64	0.25	0.05	0.05	1.47	4.3	0.28	0.24	1.19	0.22	0.33	0.99	9.72	0.83	21.9	0.74	0.21	0.08	1.97	12.54	0.67	12.37	1.03	0.19	0.59	1.46	7.14	0.18	4.71	1.1	0.5	0.26	0.382	9.584	1.006	1.683	0.232	0.837	0.699	0.295	0.91	0.154	0.477	1.62	0.615
Bacteroides fragilis	a05	2.51857 	2.49000 	1.30286 	2.45143 	2.86143 	2.19857 	2.76860 	2.15920 	2.26260 	0.97	0.3	1.8	1.87	5.83	4.06	2.8	1.15	2.63	2.32	1.39	5.85	3.64	0.45	0.4	0.18	2.17	1.22	2.02	0.27	2.86	1.39	2.25	1.59	2.84	3.63	3.83	1.63	2.07	0.75	2.52	3.8	5.02	3.09	2.78	1.98	4.13	2.28	1.8	1.3	1.32	2.58	2.664	1.365	2.752	4.224	2.838	1.76	1.381	2.69	3.661	1.304	2.67	1.756	1.7	3.213	1.974
Bacteroides intestinalis	a06	0.88429 	0.51286 	0.31286 	1.10714 	0.51429 	0.65143 	3.36120 	0.33440 	0.52980 	0.3	0.01	0.42	0.04	1.87	3.25	0.3	0.17	0.19	0.6	0.02	1.43	1.15	0.03	0.1	0.03	1.27	0.02	0.51	0.04	0.22	0.91	0.26	4.54	0.1	1.01	0.86	0.07	0.64	0.02	0.56	0.07	1.18	0.93	0.2	0.21	0.48	3.05	0.05	0.24	0.43	0.1	0.563	0.406	0.59	14.608	0.639	0.251	0.404	0.387	0.427	0.203	0.489	0.282	0.745	0.755	0.378
Bacteroides ovatus	a07	3.21571 	1.81286 	1.00000 	2.64143 	3.24571 	1.62000 	2.71020 	3.86960 	0.89320 	0.44	0.22	1.19	8.39	4.21	6.52	1.54	1.11	1.24	1.7	2.69	3.11	2.42	0.42	0.21	0.23	2.42	1.76	0.91	0.23	1.24	1.86	1.57	1.52	9.95	1.43	1.5	0.66	1.05	0.19	1.61	15.28	1.81	1.17	1.61	1.37	0.83	0.98	5.85	0.3	0.92	1.09	4.389	0.751	4.463	3.008	0.94	7.797	0.768	0.689	8.802	1.292	1.237	0.42	0.566	1.728	0.515
Bacteroides salanitronis	a08	0.80429 	0.67286 	0.41429 	0.57000 	0.72857 	0.40143 	0.90620 	0.82740 	0.77180 	0.25	0.01	0.71	0.04	2.21	0.93	1.48	0.1	0.28	0.87	0.02	2.66	0.65	0.13	0.05	0.01	0.77	0.03	0.87	0.02	1.15	0.36	0.31	0.41	0.07	1.98	0.61	0.25	0.6	0.03	0.93	0.06	2.13	0.41	0.94	0.52	0.61	0.76	0.04	0.4	0.15	0.33	0.297	1.003	0.358	1.119	1.754	0.155	0.977	1.56	1.246	0.199	0.934	0.517	0.485	0.331	1.592
Bacteroides thetaiotaomicron	a09	1.50000 	1.34857 	0.74429 	1.21000 	1.51857 	1.26429 	2.20940 	3.19520 	1.69380 	0.37	0.05	1.81	0.68	3.4	1.78	2.41	0.82	1.18	2.07	0.21	3.12	1.82	0.22	0.25	0.03	1.84	0.31	0.75	0.13	1.9	0.99	1.33	1.89	0.72	1.07	1.81	0.66	1.27	0.09	1.93	0.55	1.98	2.15	2.66	1.35	2.41	1.93	0.36	0.35	0.81	1.64	1.775	1.312	0.837	6.225	0.898	0.922	1.47	0.704	11.872	1.008	0.958	1.859	2.617	1.743	1.292
Bacteroides uniformis	a10	2.84571 	2.61000 	1.45571 	3.21143 	3.46571 	2.29571 	4.40240 	3.21300 	3.82640 	2.91	0.04	1.21	1.99	2.01	8.31	3.45	3.87	0.5	1.77	1.47	1.87	8.23	0.56	2.03	0.29	1.55	1.29	0.77	1.13	3.13	5.2	0.8	2.91	3.66	1.18	7.81	0.92	2.7	0.14	1.3	2.69	1.39	11.94	4.1	2.44	0.8	2.19	1.95	0.18	6.06	2.45	5.674	1.263	2.062	9.448	3.565	2.895	1.599	1.506	5.172	4.893	7.057	0.567	3.793	4.078	3.637
