tax	tax001	tax002	tax003	tax004	tax005	tax006	tax007	tax008	tax009	tax010	tax011	tax012	tax013	tax014	tax015	tax016	tax017	tax018	tax019	tax020	tax021	tax022	tax023	tax024	tax025	tax026	tax027	tax028	tax029	tax030	tax031	tax032	tax033	tax034	tax035	tax036	tax037	tax038	tax039	tax040	tax041	tax042	tax043	tax044	tax045	tax046	tax047	tax048	tax049	tax050	tax051	tax052	tax053	tax054	tax055	tax056	tax057	tax058	tax059	tax060	tax061	tax062	tax063	tax064	tax065	tax066	tax067	tax068	tax069	tax070	tax071	tax072	tax073	tax074	tax075	tax076	tax077	tax078	tax079	tax080	tax081	tax082	tax083	tax084	tax085	tax086	tax087	tax088	tax089	tax090	tax091	tax092	tax093	tax094	tax095	tax096	tax097	tax098	tax099	tax100	tax101	tax102	tax103	tax104	tax105	tax106	tax107	tax108	tax109	tax110	tax111	tax112	tax113	tax114	tax115	tax116	tax117	tax118	tax119	tax120	tax121	tax122	tax123	tax124	tax125	tax126	tax127	tax128	tax129	tax130	tax131	tax132	tax133	tax134	tax135	tax136	tax137	tax138	tax139	tax140	tax141	tax142	tax143	tax144	tax145	tax146	tax147	tax148	tax149	tax150	tax151	tax152	tax153	tax154	tax155	tax156	tax157	tax158	tax159	tax160	tax161	tax162	tax163	tax164	tax165	tax166	tax167	tax168	tax169	tax170	tax171	tax172	tax173	tax174	tax175	tax176	tax177	tax178	tax179	tax180	tax181	tax182	tax183	tax184	tax185	tax186	tax187	tax188	tax189	tax190	tax191	tax192	tax193	tax194
MA1	7076180 	666627 	8425996 	393351 	132497 	886075 	95232 	699751 	691470 	844670 	422335 	782562 	645924 	169762 	546551 	194605 	49686 	103513 	78670 	409913 	293978 	1329113 	120076 	240151 	207027 	70389 	149059 	645924 	149059 	132497 	165622 	124216 	128357 	136638 	140778 	128357 	124216 	120076 	149059 	111795 	120076 	107654 	1043416 	62108 	99373 	91092 	57968 	4141 	62108 	66249 	78670 	74530 	74530 	82811 	70389 	70389 	53827 	132497 	70389 	62108 	49686 	78670 	49686 	66249 	41405 	62108 	62108 	45546 	33124 	37265 	53827 	41405 	49686 	53827 	49686 	4141 	49686 	53827 	41405 	4141 	95232 	45546 	41405 	41405 	78670 	45546 	33124 	33124 	37265 	28984 	37265 	37265 	37265 	37265 	37265 	28984 	33124 	33124 	33124 	20703 	0 	37265 	33124 	28984 	0 	28984 	28984 	4141 	28984 	28984 	28984 	28984 	20703 	0 	24843 	28984 	24843 	28984 	24843 	16562 	20703 	20703 	190465 	20703 	20703 	20703 	20703 	20703 	16562 	16562 	20703 	20703 	16562 	20703 	20703 	0 	16562 	16562 	16562 	16562 	12422 	16562 	12422 	16562 	16562 	16562 	16562 	16562 	16562 	62108 	16562 	24843 	0 	12422 	8281 	12422 	4141 	12422 	12422 	12422 	12422 	4141 	12422 	12422 	8281 	12422 	8281 	20703 	12422 	12422 	12422 	12422 	12422 	8281 	12422 	12422 	12422 	0 	12422 	8281 	12422 	12422 	12422 	12422 	8281 	12422 	12422 	8281 	20703 	8281 	8281 	12422 	8281 	24843 
MA2	4628375 	554009 	7354797 	300997 	104695 	745949 	74159 	584545 	540922 	711051 	335895 	1282509 	1265060 	130868 	453677 	405692 	39260 	113419 	61072 	331533 	235563 	1304320 	205027 	401329 	344620 	139593 	117781 	540922 	318446 	244287 	148317 	235563 	244287 	248650 	239925 	100332 	205027 	244287 	122144 	200665 	104695 	87246 	1068758 	47985 	174491 	143955 	43623 	4362 	126506 	52347 	65434 	122144 	122144 	65434 	126506 	117781 	43623 	567096 	113419 	52347 	174491 	126506 	39260 	56710 	91608 	117781 	109057 	39260 	47985 	30536 	87246 	65434 	82883 	43623 	95970 	4362 	43623 	43623 	117781 	8725 	113419 	30536 	78521 	34898 	117781 	34898 	34898 	248650 	69796 	30536 	30536 	47985 	65434 	43623 	30536 	30536 	56710 	39260 	61072 	34898 	0 	30536 	52347 	52347 	0 	21811 	52347 	8725 	47985 	26174 	21811 	26174 	21811 	0 	21811 	43623 	39260 	43623 	39260 	21811 	21811 	34898 	248650 	34898 	30536 	34898 	30536 	34898 	13087 	13087 	26174 	30536 	17449 	21811 	17449 	0 	26174 	26174 	17449 	13087 	26174 	13087 	30536 	26174 	13087 	13087 	17449 	21811 	13087 	100332 	17449 	30536 	0 	17449 	8725 	21811 	4362 	13087 	13087 	8725 	21811 	4362 	17449 	17449 	13087 	13087 	8725 	56710 	17449 	8725 	13087 	17449 	8725 	13087 	17449 	8725 	8725 	0 	13087 	13087 	13087 	13087 	21811 	13087 	8725 	13087 	8725 	13087 	52347 	13087 	8725 	8725 	13087 	47985 
MA3	6150216 	743613 	10254469 	488895 	139684 	990115 	94492 	332777 	718963 	899731 	386186 	1392734 	764155 	160226 	612146 	8217 	49300 	147901 	73950 	419053 	304019 	981898 	16433 	304019 	246502 	4108 	139684 	780589 	164334 	139684 	184876 	156118 	152009 	147901 	139684 	139684 	127359 	131468 	160226 	135576 	152009 	98601 	4108 	57517 	102709 	90384 	57517 	4108 	82167 	78059 	98601 	73950 	78059 	98601 	86276 	86276 	57517 	12325 	69842 	73950 	242393 	94492 	49300 	82167 	57517 	69842 	61625 	49300 	24650 	41084 	57517 	61625 	53409 	53409 	53409 	4108 	53409 	57517 	41084 	4108 	20542 	24650 	45192 	53409 	57517 	45192 	45192 	45192 	45192 	32867 	32867 	28759 	36975 	16433 	45192 	28759 	41084 	28759 	41084 	24650 	0 	36975 	32867 	32867 	0 	32867 	32867 	0 	28759 	32867 	20542 	32867 	20542 	0 	32867 	20542 	24650 	24650 	28759 	12325 	20542 	24650 	0 	20542 	20542 	20542 	20542 	16433 	16433 	20542 	20542 	20542 	12325 	16433 	20542 	0 	16433 	20542 	20542 	16433 	12325 	20542 	16433 	16433 	16433 	16433 	16433 	16433 	16433 	0 	8217 	4108 	0 	12325 	8217 	16433 	0 	8217 	12325 	12325 	12325 	8217 	12325 	12325 	8217 	8217 	8217 	8217 	0 	12325 	12325 	12325 	12325 	4108 	8217 	12325 	12325 	8217 	12325 	8217 	0 	12325 	12325 	12325 	8217 	8217 	12325 	8217 	0 	8217 	8217 	12325 	8217 	4108 
MA4	6358902 	585645 	7100941 	379338 	116463 	778641 	79861 	1164634 	615592 	758676 	332753 	339408 	326098 	143084 	485819 	216289 	43258 	96498 	66551 	369355 	246237 	951672 	113136 	103153 	96498 	76533 	119791 	209634 	83188 	69878 	156394 	63223 	69878 	69878 	73206 	113136 	73206 	63223 	126446 	53240 	123118 	126446 	106481 	53240 	56568 	49913 	46585 	3328 	33275 	69878 	79861 	39930 	39930 	83188 	36603 	33275 	49913 	156394 	36603 	66551 	309460 	36603 	39930 	66551 	23293 	33275 	33275 	43258 	23293 	36603 	43258 	29948 	23293 	46585 	26620 	3328 	49913 	49913 	19965 	3328 	33275 	39930 	23293 	43258 	39930 	39930 	33275 	332753 	19965 	39930 	43258 	26620 	19965 	26620 	36603 	36603 	16638 	23293 	16638 	19965 	0 	29948 	16638 	19965 	0 	23293 	13310 	13310 	16638 	29948 	26620 	26620 	26620 	0 	23293 	16638 	13310 	16638 	13310 	9983 	16638 	13310 	79861 	9983 	9983 	9983 	13310 	13310 	13310 	16638 	9983 	9983 	9983 	13310 	16638 	0 	9983 	9983 	13310 	13310 	9983 	16638 	6655 	9983 	13310 	13310 	9983 	9983 	13310 	13310 	9983 	13310 	0 	9983 	6655 	6655 	0 	6655 	9983 	9983 	6655 	13310 	6655 	9983 	6655 	6655 	6655 	19965 	9983 	9983 	9983 	6655 	9983 	6655 	9983 	9983 	9983 	3328 	9983 	6655 	6655 	6655 	6655 	6655 	6655 	6655 	9983 	6655 	13310 	6655 	6655 	9983 	6655 	23293 
MA5	8814707 	729379 	5014479 	439285 	174056 	940733 	111893 	1475334 	828839 	936589 	1645246 	580188 	600909 	203066 	605053 	426852 	66307 	95317 	99461 	472438 	339824 	219642 	256940 	165768 	149191 	157479 	211354 	128470 	140903 	145047 	190633 	124326 	132614 	128470 	124326 	149191 	140903 	124326 	169912 	91172 	149191 	157479 	4144 	78740 	95317 	78740 	66307 	8288 	70451 	82884 	91172 	70451 	62163 	95317 	66307 	62163 	70451 	0 	62163 	78740 	74596 	58019 	66307 	74596 	53875 	62163 	66307 	53875 	53875 	45586 	45586 	62163 	53875 	66307 	45586 	4144 	66307 	66307 	37298 	4144 	37298 	24865 	37298 	49730 	12433 	53875 	37298 	16577 	33154 	78740 	58019 	41442 	33154 	41442 	45586 	78740 	37298 	45586 	29009 	37298 	0 	45586 	29009 	33154 	0 	37298 	24865 	0 	29009 	41442 	37298 	33154 	58019 	0 	29009 	24865 	24865 	24865 	20721 	29009 	24865 	20721 	0 	20721 	20721 	20721 	20721 	16577 	20721 	20721 	20721 	16577 	24865 	20721 	24865 	0 	16577 	16577 	20721 	20721 	16577 	16577 	16577 	16577 	20721 	20721 	16577 	16577 	16577 	0 	16577 	12433 	0 	16577 	8288 	12433 	0 	12433 	16577 	12433 	12433 	8288 	12433 	16577 	12433 	12433 	8288 	4144 	12433 	12433 	16577 	12433 	12433 	8288 	12433 	12433 	12433 	4144 	16577 	8288 	12433 	12433 	12433 	12433 	12433 	12433 	12433 	12433 	0 	12433 	12433 	12433 	8288 	4144 
MA6	8325122 	636363 	4207481 	396791 	145989 	797325 	97326 	1257752 	744919 	797325 	917111 	621390 	550267 	179679 	531550 	426737 	56150 	67380 	86096 	415507 	284492 	733689 	239572 	157219 	149732 	157219 	164706 	127273 	123529 	134759 	172192 	119786 	119786 	119786 	123529 	127273 	119786 	108556 	108556 	86096 	127273 	134759 	7487 	71123 	86096 	74866 	59893 	7487 	67380 	74866 	82353 	67380 	59893 	82353 	59893 	56150 	59893 	0 	56150 	67380 	112299 	56150 	56150 	67380 	56150 	56150 	56150 	48663 	48663 	37433 	48663 	56150 	48663 	59893 	41176 	3743 	56150 	56150 	37433 	3743 	26203 	37433 	37433 	44920 	22460 	44920 	41176 	18717 	33690 	67380 	44920 	37433 	29946 	48663 	37433 	63636 	29946 	33690 	26203 	26203 	0 	37433 	26203 	26203 	0 	33690 	26203 	0 	26203 	33690 	26203 	29946 	48663 	0 	26203 	26203 	22460 	22460 	22460 	22460 	22460 	18717 	3743 	18717 	18717 	18717 	18717 	14973 	18717 	18717 	18717 	14973 	22460 	18717 	22460 	0 	14973 	14973 	18717 	18717 	14973 	14973 	11230 	14973 	18717 	18717 	14973 	14973 	14973 	0 	14973 	7487 	0 	11230 	7487 	11230 	0 	14973 	14973 	11230 	11230 	14973 	11230 	11230 	11230 	11230 	7487 	3743 	11230 	11230 	11230 	11230 	11230 	7487 	11230 	11230 	11230 	3743 	11230 	7487 	11230 	7487 	7487 	11230 	11230 	11230 	11230 	11230 	0 	7487 	11230 	11230 	7487 	7487 
MB1	11599690 	622743 	9073633 	425395 	175421 	1004283 	127180 	1302498 	942886 	824477 	605201 	469250 	499949 	236818 	504334 	399082 	65783 	135951 	109638 	276288 	359612 	26313 	219276 	153493 	131565 	144722 	232432 	118409 	122794 	105252 	166650 	92096 	105252 	109638 	114023 	144722 	114023 	105252 	166650 	78939 	122794 	131565 	4386 	87710 	87710 	78939 	74554 	65783 	52626 	70168 	83325 	61397 	61397 	83325 	57012 	52626 	70168 	4386 	57012 	74554 	8771 	61397 	65783 	70168 	43855 	52626 	48241 	52626 	48241 	43855 	39470 	52626 	43855 	70168 	39470 	4386 	52626 	52626 	30699 	4386 	30699 	61397 	35084 	43855 	26313 	48241 	43855 	17542 	35084 	13157 	57012 	35084 	30699 	43855 	39470 	13157 	26313 	35084 	26313 	17542 	0 	43855 	26313 	26313 	0 	39470 	26313 	0 	21928 	30699 	35084 	35084 	8771 	0 	26313 	30699 	21928 	21928 	17542 	17542 	17542 	17542 	0 	17542 	17542 	17542 	17542 	21928 	21928 	17542 	13157 	17542 	21928 	17542 	21928 	0 	13157 	13157 	13157 	21928 	13157 	17542 	13157 	13157 	17542 	21928 	8771 	13157 	17542 	0 	13157 	0 	0 	13157 	8771 	13157 	0 	13157 	17542 	13157 	8771 	4386 	8771 	8771 	13157 	8771 	8771 	4386 	13157 	13157 	13157 	8771 	13157 	8771 	8771 	17542 	8771 	0 	8771 	13157 	13157 	8771 	13157 	8771 	8771 	8771 	8771 	8771 	0 	8771 	8771 	8771 	8771 	0 
MB2	8255667 	577206 	9670228 	369899 	138204 	865809 	97556 	1048726 	715410 	747929 	439002 	743864 	788577 	178852 	475585 	126010 	52843 	142269 	81297 	300797 	284538 	16259 	89426 	264214 	231695 	40648 	162593 	101621 	182917 	158528 	154463 	170723 	162593 	162593 	142269 	121945 	142269 	150399 	142269 	134139 	113815 	117880 	36583 	65037 	117880 	97556 	56908 	77232 	101621 	65037 	77232 	77232 	85361 	77232 	81297 	77232 	56908 	8130 	77232 	60972 	8130 	77232 	48778 	65037 	85361 	73167 	69102 	44713 	40648 	36583 	60972 	60972 	60972 	52843 	52843 	4065 	48778 	48778 	48778 	8130 	28454 	77232 	44713 	40648 	44713 	44713 	48778 	12194 	44713 	12194 	44713 	36583 	40648 	40648 	32519 	8130 	40648 	36583 	36583 	20324 	0 	36583 	32519 	32519 	0 	28454 	32519 	0 	32519 	28454 	28454 	28454 	8130 	0 	24389 	32519 	24389 	24389 	24389 	16259 	20324 	24389 	4065 	20324 	24389 	20324 	24389 	20324 	16259 	16259 	16259 	20324 	16259 	16259 	16259 	0 	20324 	20324 	16259 	16259 	16259 	16259 	16259 	16259 	16259 	16259 	12194 	16259 	16259 	4065 	12194 	4065 	0 	12194 	8130 	12194 	4065 	12194 	16259 	12194 	12194 	4065 	12194 	12194 	8130 	12194 	8130 	4065 	8130 	12194 	12194 	12194 	12194 	8130 	12194 	12194 	12194 	4065 	12194 	16259 	8130 	12194 	16259 	12194 	8130 	12194 	8130 	12194 	4065 	12194 	8130 	12194 	8130 	4065 
MB3	15283903 	902103 	1161328 	575479 	212564 	1171697 	150350 	1741992 	1130221 	1228726 	710276 	1202804 	834704 	305885 	731014 	362915 	103690 	77767 	155535 	611771 	451051 	331808 	212564 	378468 	373284 	124428 	269594 	134797 	176273 	176273 	243671 	228118 	202195 	176273 	171088 	186642 	191826 	150350 	217749 	197011 	165904 	176273 	67398 	103690 	129612 	119243 	88136 	191826 	119243 	93321 	103690 	103690 	103690 	108874 	98505 	93321 	88136 	160719 	82952 	93321 	150350 	88136 	77767 	88136 	93321 	77767 	77767 	67398 	62214 	57029 	103690 	67398 	88136 	88136 	57029 	5184 	77767 	77767 	62214 	5184 	77767 	77767 	51845 	57029 	57029 	62214 	57029 	31107 	51845 	62214 	67398 	57029 	46660 	57029 	46660 	57029 	46660 	57029 	41476 	62214 	10369 	57029 	41476 	46660 	0 	46660 	36291 	342177 	36291 	46660 	46660 	46660 	46660 	0 	31107 	36291 	31107 	31107 	31107 	25922 	31107 	25922 	57029 	25922 	31107 	25922 	31107 	31107 	25922 	25922 	25922 	25922 	25922 	25922 	25922 	0 	20738 	25922 	20738 	25922 	20738 	20738 	20738 	20738 	25922 	25922 	31107 	20738 	25922 	36291 	20738 	20738 	5184 	20738 	10369 	20738 	0 	15553 	20738 	15553 	15553 	31107 	15553 	20738 	15553 	15553 	15553 	25922 	15553 	20738 	15553 	15553 	15553 	25922 	15553 	15553 	15553 	0 	15553 	20738 	15553 	15553 	15553 	15553 	15553 	15553 	15553 	15553 	20738 	10369 	15553 	15553 	15553 	57029 
MB4	8544591 	635488 	944154 	330454 	127098 	813425 	94415 	1074883 	657276 	846107 	424869 	1074883 	936891 	181568 	515653 	424869 	58102 	137992 	87153 	428501 	290509 	156149 	228776 	272352 	275983 	145254 	156149 	105309 	217882 	206988 	163411 	192462 	185199 	192462 	177937 	119835 	177937 	181568 	145254 	148886 	101678 	108941 	18157 	61733 	137992 	130729 	54470 	94415 	108941 	58102 	65364 	94415 	94415 	61733 	98047 	90784 	50839 	65364 	87153 	54470 	72627 	101678 	47208 	50839 	87153 	87153 	72627 	39945 	47208 	36314 	68996 	76259 	87153 	54470 	68996 	3631 	50839 	50839 	47208 	7263 	50839 	54470 	61733 	32682 	39945 	39945 	47208 	7263 	58102 	25420 	43576 	43576 	50839 	58102 	29051 	25420 	43576 	39945 	43576 	54470 	3631 	36314 	43576 	39945 	0 	29051 	39945 	50839 	39945 	29051 	29051 	29051 	18157 	0 	18157 	39945 	36314 	36314 	29051 	18157 	21788 	32682 	21788 	29051 	25420 	29051 	29051 	25420 	14525 	14525 	21788 	25420 	18157 	21788 	18157 	0 	25420 	21788 	18157 	18157 	14525 	10894 	25420 	18157 	14525 	18157 	21788 	18157 	14525 	10894 	14525 	21788 	0 	14525 	7263 	18157 	0 	14525 	14525 	7263 	14525 	18157 	14525 	18157 	10894 	14525 	10894 	14525 	14525 	10894 	10894 	14525 	7263 	14525 	18157 	10894 	10894 	0 	10894 	14525 	10894 	14525 	14525 	10894 	14525 	10894 	10894 	10894 	7263 	10894 	10894 	10894 	10894 	18157 
