	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	MA1	MA2	MA3	MA4	MA5	MA6	MB1	MB2	MB3	MB4	MB5	MB6	MC1	MC2	MC3	MC4	MC5	MC6	MD1	MD2	MD3	MD4	MD5	MD6	ME1	ME2	ME3	ME4	ME5	ME6	MF1	MF2	MF3	MF4	MF5	MF6	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5	YA1	YA2	YA3	YA4	YA5	YD1	YD2	YD3	YD4	YD5	YF1	YF2	YF3	YF4	YF5
HA1	0	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1
HA2	NA	0	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1
HA3	NA	NA	0	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1
HA4	NA	NA	NA	0	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1
HA5	NA	NA	NA	NA	0	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1
HA6	NA	NA	NA	NA	NA	0	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1
HA7	NA	NA	NA	NA	NA	NA	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1
HB1	1	1	1	1	1	1	1	0	0.929378531	0.698324022	0.45799458	0.784946237	0.592105263	0.45308311	0.593582888	0.979532164	0.747474747	0.509433962	0.786720322	0.744639376	0.459807074	0.465116279	0.929577465	0.76635514	0.673202614	0.792079208	0.632047478	0.445054945	0.482758621	0.948863636	0.675126904	0.695783133	0.787037037	0.661202186	0.404682274	0.495412844	0.935119887	0.756756757	0.390243902	0.789279113	0.710280374	0.412462908	1	1	1	1	1	1	0.69348659	0.878594249	0.730870712	0.865060241	0.795053004	0.836431227	0.776744186	0.846153846	0.880103359	0.889266634	0.786476868	0.778688525	0.844748858	0.871382637	0.923478261	0.90078329	0.817703769	0.896193772	0.72826087	0.893004115	0.84801614	0.872787611	0.647457627	0.607476636	0.910828025	0.91091314	0.908045977	0.850766156	0.856801909	0.904012589	1	1	1	1	1	0.86746988	0.853658537	0.957142857	0.941605839	0.855421687	0.875706215	0.883495146	0.907514451	0.914691943	0.906103286	1	1	1	1	1	0.974683544	0.973333333	0.974193548	0.974193548	0.974842767	0.974683544	0.973856209	0.973333333	0.976047904	0.975308642
HB2	1	1	1	1	1	1	1	0.929378531	0	0.91626409	0.948212084	0.918918919	0.92	0.904294479	0.875993641	0.047957371	0.915625	0.951909477	0.927582535	0.730245232	0.888446215	0.967889908	0.001736111	0.896341463	0.956356736	0.919621749	0.926523297	0.895781638	0.949227373	0.029668412	0.909233177	0.965641953	0.926773455	0.930153322	0.886639676	0.974943052	0.026933102	0.912650602	0.950581395	0.922685656	0.830508475	0.892169448	1	1	1	1	1	1	0.957325747	0.917880795	0.951278928	0.950991832	0.955862069	0.924050633	0.9543379	0.934533552	0.972233908	0.971211515	0.952973721	0.95335277	0.936459909	0.917662683	0.983720229	0.972262774	0.948199621	0.96673428	0.965432099	0.927007299	0.968895801	0.968888889	0.930232558	0.93654043	0.936507937	0.95959596	0.962314939	0.966031909	0.958799294	0.967308815	1	1	1	1	1	0.934210526	0.920792079	0.986254296	0.986183074	0.940789474	0.948303716	0.925925926	0.957723577	0.93568147	0.935877863	1	1	1	1	1	0.98	0.97972973	0.979899497	0.979899497	0.980033278	0.98	0.979831933	0.97972973	0.980295567	0.98013245
HB3	1	1	1	1	1	1	1	0.698324022	0.91626409	0	0.843971631	0.740350877	0.827255278	0.727272727	0.6	0.979899497	0.261261261	0.764044944	0.814634146	0.904153355	0.660714286	0.883381924	0.916532905	0.385826772	0.897142857	0.760252366	0.846678024	0.725631769	0.840848806	0.94165316	0.454545455	0.916811092	0.762318841	0.860465116	0.641509434	0.902578797	0.926045016	0.392592593	0.735849057	0.823788546	0.882964889	0.744	1	1	1	1	1	1	0.816091954	0.778761062	0.828767123	0.841463415	0.785714286	0.703296703	0.75	0.609756098	0.967532468	0.967545639	0.804123711	0.78343949	0.681818182	0.75	0.982783357	0.971053822	0.948766603	0.97107438	0.864768683	0.743589744	0.961428571	0.962812318	0.892644135	0.883928571	0.797356828	0.889502762	0.933124347	0.957567185	0.948717949	0.95777027	1	1	1	1	1	0.544303797	0.454545455	0.811320755	0.96	0.443037975	0.577777778	0.680672269	0.558139535	0.661290323	0.682539683	1	1	1	1	1	0.887323944	0.873015873	0.882352941	0.882352941	0.888888889	0.887323944	0.878787879	0.873015873	0.9	0.893333333
