	x	y	colour
a01	0	0	compete
a02	3	1.392110465	compete
a03	7	1.30820858	compete
a04	14	2.384413156	compete
a05	21	2.106077519	compete
a06	28	2.757269468	compete
a07	0	0	compete
a08	3	1.217483944	compete
a09	7	2.096910013	compete
a10	14	2.338788396	compete
a11	21	2.102662342	compete
a12	28	1.62838893	compete
a13	0	0	compete
a14	3	0.56427143	compete
a15	7	2.560305243	compete
a16	14	2.774881766	compete
a17	21	2.32187448	compete
a18	28	1.034762106	compete
a19	0	0	AHNU
a20	3	0.301029996	AHNU
a21	3	0.477121255	AHNU
a22	7	1.041392685	AHNU
a23	7	0.954242509	AHNU
a24	7	1.041392685	AHNU
a25	7	0.301029996	AHNU
a26	14	1.176091259	AHNU
a27	14	0.954242509	AHNU
a28	14	0.477121255	AHNU
a29	14	1	AHNU
a30	14	0.954242509	AHNU
a31	14	0.301029996	AHNU
a32	14	0.301029996	AHNU
a33	14	1.041392685	AHNU
a34	14	1	AHNU
a35	21	0.954242509	AHNU
a36	21	0.903089987	AHNU
a37	21	1.041392685	AHNU
a38	21	1.113943352	AHNU
a39	21	1.146128036	AHNU
a40	28	1.176091259	AHNU
a41	28	0.77815125	AHNU
a42	28	0.954242509	AHNU
a43	28	1.041392685	AHNU
a44	28	0.954242509	AHNU
a45	0	0	OA
a46	0	0	OB
a47	0	0	Placebo
a48	14	0.698970004	Placebo
a49	28	0.77815125	Placebo
a50	0	0	lll
a51	0	0	N
