	x	y	colour
A001	0	0	A
A002	0	0	B
A006	3	0	B
A007	3	0	B
A008	3	0	B
A009	3	0	B
A010	3	0	B
A011	3	0.812913357	B
A012	3	0.447158031	B
A013	3	0.838849091	B
A014	3	0	B
A015	3	0	B
A016	3	0	B
A017	3	0.414973348	B
A020	7	0	B
A021	7	0	B
A022	7	0	B
A023	7	0	B
A024	7	0	B
A025	7	0	B
A026	7	0	B
A027	7	0	B
A028	7	0	B
A029	7	0	B
A030	7	0	B
A031	7	0	B
A032	7	0.431363764	B
A033	7	0	B
A034	7	0	B
A035	7	0	B
A036	7	0	B
A041	14	2.51851394	B
A042	14	2.612783857	B
A043	14	2.62324929	B
A044	14	2.556302501	B
A045	14	2.278753601	B
A046	14	2.414973348	B
A047	14	2.544068044	B
A048	14	2.612783857	B
A049	14	2.505149978	B
A050	14	2.431363764	B
A051	14	2.531478917	B
A052	14	2.397940009	B
A053	14	2.505149978	B
A054	14	2.51851394	B
A055	14	2.431363764	B
A056	14	2.397940009	B
A057	14	2.230448921	B
A058	14	2.230448921	B
A068	21	2.73239376	B
A069	21	2.716003344	B
A070	21	2.544068044	B
A071	21	2.51851394	B
A072	21	2.591064607	B
A073	21	2.531478917	B
A074	21	2.62324929	B
A075	21	2.568201724	B
A076	21	2.397940009	B
A077	21	2.544068044	B
A078	21	2.633468456	B
A079	21	2.462397998	B
A080	21	2.505149978	B
A081	21	2.591064607	B
A082	21	2.579783597	B
A088	28	2.748188027	B
A089	28	2.591064607	B
A090	28	2.51851394	B
A091	28	2.662757832	B
A092	28	2.602059991	B
A093	28	2.477121255	B
A094	28	2.633468456	B
A095	28	0.812913357	B
A096	28	2.755874856	B
A097	28	2.531478917	B
A098	28	2.579783597	B
A099	28	2.698970004	B
A100	28	2.698970004	B
A101	28	2.255272505	B
A102	28	2.740362689	B
A003	0	0	C
A004	0	0	D
A005	0	0	E
A018	3	0	E
A019	3	0.397940009	E
A037	7	1.380211242	E
A038	7	0.826074803	E
A039	7	0	E
A040	7	0	E
A059	14	2.707570176	E
A060	14	0	E
A061	14	0	E
A062	14	0	E
A063	14	0	E
A064	14	0	E
A065	14	0.230448921	E
A066	14	0.672097858	E
A067	14	0	E
A083	21	2.748188027	E
A084	21	2.633468456	E
A085	21	2.826074803	E
A086	21	2.716003344	E
A087	21	2.748188027	E
A103	28	2.69019608	E
A104	28	2.477121255	E
A105	28	2.69019608	E
A106	28	2.612783857	E
A107	28	2.707570176	E
