	x	y	colour
A001	0	0	A
A002	0	0	B
A003	0	0	C
A004	0	0	D
A005	0	0	E
A006	3	0	B
A007	3	0	B
A008	3	0	B
A009	3	0	B
A010	3	0	B
A011	3	1.949390007	B
A012	3	2.079181246	B
A013	3	2.079181246	B
A014	3	0	B
A015	3	0	B
A016	3	0	B
A017	3	0	B
A018	3	0	E
A019	3	2.146128036	E
A020	7	0	B
A021	7	0	B
A022	7	0	B
A023	7	0	B
A024	7	0	B
A025	7	0	B
A026	7	0	B
A027	7	0	B
A028	7	0	B
A029	7	0	B
A030	7	0	B
A031	7	0	B
A032	7	0	B
A033	7	1.875061263	B
A034	7	0	B
A035	7	0	B
A036	7	0	B
A037	7	2.079181246	E
A038	7	1.84509804	E
A039	7	0	E
A040	7	1.934498451	E
A041	14	1.995635195	B
A042	14	2	B
A043	14	2.204119983	B
A044	14	2.146128036	B
A045	14	2.146128036	B
A046	14	2.176091259	B
A047	14	1.982271233	B
A048	14	2	B
A049	14	1.819543936	B
A050	14	2.041392685	B
A051	14	1.934498451	B
A052	14	1.740362689	B
A053	14	1.892094603	B
A054	14	2.041392685	B
A055	14	2.041392685	B
A056	14	1.929418926	B
A057	14	1.886490725	B
A058	14	1.832508913	B
A059	14	2	E
A060	14	0	E
A061	14	0	E
A062	14	0	E
A063	14	0	E
A064	14	0	E
A065	14	2.079181246	E
A066	14	1.954242509	E
A067	14	0	E
A068	21	2.079181246	B
A069	21	2.176091259	B
A070	21	2	B
A071	21	1.892094603	B
A072	21	2	B
A073	21	1.986771734	B
A074	21	2	B
A075	21	2.041392685	B
A076	21	1.875061263	B
A077	21	1.977723605	B
A078	21	2.079181246	B
A079	21	1.934498451	B
A080	21	1.913813852	B
A081	21	1.875061263	B
A082	21	1.991226076	B
A083	21	2.176091259	E
A084	21	1.959041392	E
A085	21	2.146128036	E
A086	21	1.959041392	E
A087	21	2.041392685	E
A088	28	2.113943352	B
A089	28	2.113943352	B
A090	28	1.991226076	B
A091	28	2	B
A092	28	1.944482672	B
A093	28	1.986771734	B
A094	28	1.924279286	B
A095	28	2.079181246	B
A096	28	2.079181246	B
A097	28	1.991226076	B
A098	28	2.041392685	B
A099	28	2	B
A100	28	2	B
A101	28	1.491361694	B
A102	28	1.944482672	B
A103	28	2.041392685	E
A104	28	1.954242509	E
A105	28	2	E
A106	28	1.954242509	E
A107	28	1.954242509	E
