	x	y	colour
a001	-2.1611832	0	human
a002	-2.1611832	0	human
a003	-2.1611832	0	human
a004	-2.1611832	0	human
a005	-2.1611832	0	human
a006	-2.1611832	0	human
a007	-2.1611832	0	human
a008	1.335324361	42.04004898	human
a009	1.057692625	83.64472216	human
a010	-0.369423731	45.24749759	human
a011	1.770642433	46.05401885	human
a012	2.642837845	48.8865135	human
a013	-1.46803602	59.84976223	human
a014	0.672030144	56.33356614	human
a015	2.129276241	49.39552825	human
a016	-0.215273051	56.77345275	human
a017	0.834549073	45.67280161	human
a018	2.667130537	59.36640686	human
a019	0.036041377	60.23976382	human
a020	-0.551745288	76.77883805	human
a021	1.422335738	45.30450639	human
a022	0.834549073	44.28262324	human
a023	0.974311016	85.11289131	human
a024	0.477874129	67.01968285	human
a025	-0.215273051	52.48752881	human
a026	-2.1611832	50.91005525	human
a027	-1.062570912	55.96996124	human
a028	0.729188558	54.62971376	human
a029	2.530164682	60.60088673	human
a030	-0.551745288	50.47441089	human
a031	0.141401893	53.08029341	human
a032	0.141401893	51.92064903	human
a033	-2.1611832	59.6387925	human
a034	-2.1611832	66.90261198	human
a035	1.422335738	44.93990621	human
a036	-0.081741659	52.60393643	human
a037	1.949690664	88.88476838	human
a038	0.236712073	58.18533064	human
a039	-0.369423731	50.81038138	human
a040	0.783255779	66.34199364	human
a041	-2.1611832	78.7050887	human
a042	1.790060518	49.90406376	human
a043	-2.104660933	0	mouse
a044	-2.104660933	0	mouse
a045	-2.104660933	0	mouse
a046	-2.104660933	0	mouse
a047	-2.104660933	0	mouse
a048	-2.104660933	0	mouse
a049	0.603389268	62.6016683	mouse
a050	0.839778046	64.52491329	mouse
a051	1.506256979	70.14995313	mouse
a052	1.153435605	79.98816216	mouse
a053	1.478858005	58.38840193	mouse
a054	2.143834309	57.1134832	mouse
a055	1.153435605	61.70974254	mouse
a056	2.945195074	65.55819533	mouse
a057	0.667927789	76.6701387	mouse
a058	1.312901464	79.6630567	mouse
a059	1.846582785	62.52348292	mouse
a060	1.025219392	54.76432083	mouse
a061	0.839778046	68.8096106	mouse
a062	1.460288424	83.92717063	mouse
a063	0.718366572	85.7309983	mouse
a064	1.158750784	77.40563729	mouse
a065	1.411513753	102.283497	mouse
a066	1.092563644	100.3801193	mouse
a067	0.19792416	63.67904564	mouse
a068	0.29323434	65.55672852	mouse
a069	1.329326271	69.70517572	mouse
a070	-1.006048645	78.29562518	mouse
a071	-1.006048645	89.21036301	mouse
a072	-0.312901464	89.85294178	mouse
a073	-0.158750784	87.34180524	mouse
a074	0.667927789	94.71132695	mouse
a075	-0.158750784	90.62785087	mouse
a076	-0.495223021	88.80705147	mouse
a077	-0.495223021	102.5505088	mouse
a078	-0.718366572	92.46499224	mouse

	x	y	colour
a001	0	-2.1611832	human
a002	0	-2.1611832	human
a003	0	-2.1611832	human
a004	0	-2.1611832	human
a005	0	-2.1611832	human
a006	0	-2.1611832	human
a007	0	-2.1611832	human
a008	3	1.335324361	human
a009	3	1.057692625	human
a010	3	-0.369423731	human
a011	3	1.770642433	human
a012	3	2.642837845	human
a013	3	-1.46803602	human
a014	3	0.672030144	human
a015	7	2.129276241	human
a016	7	-0.215273051	human
a017	7	0.834549073	human
a018	7	2.667130537	human
a019	7	0.036041377	human
a020	7	-0.551745288	human
a021	7	1.422335738	human
a022	14	0.834549073	human
a023	14	0.974311016	human
a024	14	0.477874129	human
a025	14	-0.215273051	human
a026	14	-2.1611832	human
a027	14	-1.062570912	human
a028	14	0.729188558	human
a029	21	2.530164682	human
a030	21	-0.551745288	human
a031	21	0.141401893	human
a032	21	0.141401893	human
a033	21	-2.1611832	human
a034	21	-2.1611832	human
a035	21	1.422335738	human
a036	28	-0.081741659	human
a037	28	1.949690664	human
a038	28	0.236712073	human
a039	28	-0.369423731	human
a040	28	0.783255779	human
a041	28	-2.1611832	human
a042	28	1.790060518	human
a043	0	-2.104660933	mouse
a044	0	-2.104660933	mouse
a045	0	-2.104660933	mouse
a046	0	-2.104660933	mouse
a047	0	-2.104660933	mouse
a048	0	-2.104660933	mouse
a049	3	0.603389268	mouse
a050	3	0.839778046	mouse
a051	3	1.506256979	mouse
a052	3	1.153435605	mouse
a053	3	1.478858005	mouse
a054	3	2.143834309	mouse
a055	7	1.153435605	mouse
a056	7	2.945195074	mouse
a057	7	0.667927789	mouse
a058	7	1.312901464	mouse
a059	7	1.846582785	mouse
a060	7	1.025219392	mouse
a061	14	0.839778046	mouse
a062	14	1.460288424	mouse
a063	14	0.718366572	mouse
a064	14	1.158750784	mouse
a065	14	1.411513753	mouse
a066	14	1.092563644	mouse
a067	21	0.19792416	mouse
a068	21	0.29323434	mouse
a069	21	1.329326271	mouse
a070	21	-1.006048645	mouse
a071	21	-1.006048645	mouse
a072	21	-0.312901464	mouse
a073	28	-0.158750784	mouse
a074	28	0.667927789	mouse
a075	28	-0.158750784	mouse
a076	28	-0.495223021	mouse
a077	28	-0.495223021	mouse
a078	28	-0.718366572	mouse
a079	0	-2.611906341	a
a080	0	-2.611906341	i
a081	0	-2.611906341	j
