Species	OP_28	PRO_14	PLA_14	PRO_28	PLA_28	PRO_14	PLA_14	PRO_28	PLA_28
Alistipes shahii	2	18 	0 	17 	0 	0 	0 	0 	0 
Alistipes finegoldii	0	5 	3 	5 	4 	0 	0 	0 	0 
Anaerostipes hadrus	21.2	0 	0 	0 	0 	0 	0 	0 	0 
Bacteroides caccae	0	5 	0 	5 	0 	46 	0 	35 	0 
Bacteroides cellulosilyticus	0.8	0 	0 	0 	0 	0 	0 	0 	0 
Bacteroides fragilis	6.2	28 	2 	37 	5 	11 	0 	13 	0 
Bacteroides intestinalis	0.4	3 	1 	4 	1 	0 	0 	0 	0 
Bacteroides ovatus	80	131 	0 	98 	0 	218 	0 	43 	0 
Bacteroides salanitronis	18.4	27 	2 	32 	2 	14 	0 	12 	0 
Bacteroides thetaiotaomicron	10.8	23 	3 	21 	5 	214 	16 	148 	20 
Bacteroides uniformis	0	11 	1 	13 	3 	5 	0 	7 	0 
Bacteroides vulgatus	2	0 	0 	0 	0 	242 	6 	572 	5 
Bacteroides xylanisolvens	0	15 	4 	14 	8 	596 	0 	11 	0 
Bifidobacterium adolescentis	0	69 	3 	78 	2 	0 	0 	0 	0 
Bifidobacterium longum	0	8 	2 	10 	2 	0 	0 	0 	0 
Bifidobacterium pseudocatenulatum	0.4	0 	0 	0 	0 	0 	0 	0 	0 
Enterococcus faecium	1.8	0 	0 	0 	0 	0 	0 	0 	0 
Eubacterium eligens	8.8	0 	0 	0 	0 	0 	0 	0 	0 
Eubacterium rectale	70.2	0 	0 	0 	0 	0 	0 	0 	0 
Faecalibacterium prausnitzii	528.6	0 	0 	0 	0 	0 	0 	0 	0 
Odoribacter splanchnicus	1.6	3 	0 	2 	0 	0 	0 	0 	0 
Parabacteroides distasonis	0.4	3 	0 	2 	0 	0 	0 	0 	0 
Paraprevotella xylaniphila	0.4	8 	0 	7 	0 	0 	0 	0 	0 
Roseburia hominis	42.6	0 	0 	0 	0 	0 	0 	0 	0 
Roseburia intestinalis	44.2	0 	0 	0 	0 	0 	0 	0 	0 
Ruminococcus bicirculans	572.2	0 	0 	0 	0 	0 	0 	0 	0 

Species	OP_28	HPRO_14	HPRO_28	MPRO_14	MPRO_28	HPLA_14	HPLA_28	MPLA_14	MPLA_28
Alistipes shahii	0.301029996	1.251811973	1.230448921	-1	-1	-1	-1	-1	-1
Alistipes finegoldii	-1	0.698970004	0.711204461	-1	-1	0.447158031	0.579783597	-1	-1
Anaerostipes hadrus	1.326335861	-1	-1	-1	-1	-1	-1	-1	-1
Bacteroides caccae	-1	0.734685557	0.711204461	1.659599312	1.544068044	-1	-1	-1	-1
Bacteroides cellulosilyticus	-0.096910013	-1	-1	-1	-1	-1	-1	-1	-1
Bacteroides fragilis	0.792391689	1.449368186	1.573203251	1.041392685	1.124938737	0.380211242	0.716003344	-1	-1
Bacteroides intestinalis	-0.397940009	0.410174465	0.569875308	-1	-1	-0.096910013	0.146128036	-1	-1
Bacteroides ovatus	1.903089987	2.115848156	1.992490398	2.338788396	1.62838893	-1	-1	-1	-1
Bacteroides salanitronis	1.264817823	1.436692598	1.500602351	1.151267675	1.06694679	0.301029996	0.301029996	-1	-1
Bacteroides thetaiotaomicron	1.033423755	1.353559047	1.313264452	2.329397879	2.170261715	0.477121255	0.662757832	1.214843848	1.301029996
Bacteroides uniformis	-1	1.02413368	1.128029814	0.653212514	0.812913357	0.146128036	0.414973348	-1	-1
Bacteroides vulgatus	0.301029996	-1	-1	2.384413156	2.757269468	-1	-1	0.77815125	0.698970004
Bacteroides xylanisolvens	-1	1.176091259	1.150537155	2.774881766	1.034762106	0.62324929	0.924279286	-1	-1
Bifidobacterium adolescentis	-1	1.838849091	1.894474304	-1	-1	0.447158031	0.380211242	-1	-1
Bifidobacterium longum	-1	0.88729572	0.987410873	-1	-1	0.342422681	0.255272505	-1	-1
Bifidobacterium pseudocatenulatum	-0.397940009	-1	-1	-1	-1	-1	-1	-1	-1
Enterococcus faecium	0.255272505	-1	-1	-1	-1	-1	-1	-1	-1
Eubacterium eligens	0.944482672	-1	-1	-1	-1	-1	-1	-1	-1
Eubacterium rectale	1.846337112	-1	-1	-1	-1	-1	-1	-1	-1
Faecalibacterium prausnitzii	2.723127159	-1	-1	-1	-1	-1	-1	-1	-1
Odoribacter splanchnicus	0.204119983	0.433655561	0.301029996	-1	-1	-1	-1	-1	-1
Parabacteroides distasonis	-0.397940009	0.433655561	0.301029996	-1	-1	-1	-1	-1	-1
Paraprevotella xylaniphila	-0.397940009	0.87917783	0.870905304	-1	-1	-1	-1	-1	-1
Roseburia hominis	1.629409599	-1	-1	-1	-1	-1	-1	-1	-1
Roseburia intestinalis	1.645422269	-1	-1	-1	-1	-1	-1	-1	-1
Ruminococcus bicirculans	2.757547853	-1	-1	-1	-1	-1	-1	-1	-1
