HUMAN	x	y	colour		MOUSE	x	y	colour
A001	0.322926289	133	ll		A001	-0.525627077	128	bb
A002	0.981379953	575	ll		A002	-0.742974179	180	bb
A003	0.004387668	46	ll		A003	0.383858628	246	bb
A004	-0.520852392	236	ll		A005	0.095157952	150	bb
A005	0.271626753	239	ll		A006	0.422810463	136	bb
A006	-0.043327107	475	ll		A007	0.097700224	82	bb
A007	0.691981335	240	ll		A008	0.110423791	36	bb
A008	0.025832453	54	ll		A009	-0.028574129	1802	bb
A009	0.239078988	551	ll		A010	-0.28720242	1926	bb
A010	-0.019481354	65	ll		A011	-0.30182931	148	bb
A011	0.079706286	132	ll		A012	-0.074661304	111	bb
A012	-0.499979323	364	ll		A013	0.361342445	86	bb
A013	-0.399917449	893	ll		A014	-0.409757292	178	bb
A014	0.265873422	178	ll		A015	-0.316320212	2742	bb
A015	0.697978211	297	ll		A016	0.114018601	2165	bb
A016	1.242874012	577	ll		A017	-0.306145806	1008	bb
A017	-0.551734987	81	ll		A018	-0.223918019	1890	bb
A018	-0.524642196	479	ll		A019	0.298781498	235	bb
A019	0.013271416	271	ll		A020	0.023211775	110	bb
A020	-0.388804452	541	ll		A021	0.37195522	1354	bb
A021	0.243816658	231	ll		A022	0.210233668	1675	bb
A022	0.580353566	331	ll		A023	-1.213765708	457	bb
A023	0.936014561	571	ll		A024	-1.241590351	402	bb
A024	-0.106913966	64	ll		A025	-1.833119527	181	bb
A025	-0.847718542	531	ll		A026	-1.487892681	316	bb
A026	0.045421131	299	ll		A027	-1.145686598	911	bb
A027	-0.188979454	599	ll		A028	-1.064206711	1368	bb
A028	0.309651776	166	ll		A029	-1.244822909	1124	bb
A029	-0.094333143	303	ll		A030	-1.23278367	1138	bb
A030	1.607672422	576	ll		A031	0.178926583	25	aa
A031	-0.329913551	89	ll		A032	-0.18069408	17	aa
A032	0.013312802	113	ll		A033	0.134822874	22	aa
A033	-0.187598949	408	ll		A034	0.390585291	22	aa
A034	-0.237034627	723	ll		A035	-0.429550091	26	aa
A035	0.215546295	204	ll		A036	-0.058472744	25	aa
A036	-0.037766481	33	BB		A037	-0.146510788	20	aa
A037	-0.132565214	31	BB		A038	0.247352105	17	aa
A038	0.018409593	7	BB		A039	0.481832173	34	aa
A039	0.461690768	4	BB		A040	-0.62261026	29	aa
A040	-0.520539518	33	BB					
A041	-0.129827683	44	BB					
A042	0.589916094	73	BB					
A043	0.138006896	40	BB					
A044	0.421701495	78	BB					
A045	-0.591424895	80	BB					
A046	0.00 	250.00 	a					
A047	0.00 	250.00 	c					
A048	0.00 	250.00 	d					
A049	0.00 	250.00 	e					
A050	0.00 	250.00 	f					
A051	0.00 	250.00 	g					
A052	0.00 	250.00 	h					
A053	0.00 	250.00 	i					
A054	0.00 	250.00 	j					
A055	0.00 	250.00 	k					
