Sample	Model	Time
HNU082	strain	F
V1	strain	B
V2	strain	C
V3	strain	D
V4	strain	E
H1	human	A
H3	human	A
H6	human	B
H8	human	B
H9	human	B
H11	human	B
H12	human	C
H13	human	C
H15	human	C
H18	human	D
H20	human	D
H25	human	E
H27	human	E
H28	human	E
H29	human	E
H31	human	A
H33	human	A
H44	human	B
H45	human	B
H47	human	B
H50	human	C
H51	human	C
H52	human	C
H63	human	A
H66	human	A
H67	human	A
H68	human	A
H69	human	C
H72	human	C
H73	human	D
H79	human	D
H84	human	E
H85	human	E
H93	human	B
H96	human	B
H97	human	C
H100	human	D
H101	human	D
H102	human	D
H103	human	D
H105	human	E
H113	human	B
H115	human	B
H117	human	C
H119	human	C
H124	human	D
H125	human	D
H128	human	D
H131	human	D
H132	human	E
H133	human	E
H135	human	E
H137	human	E
H138	human	A
H141	human	A
H145	human	B
H146	human	B
H147	human	C
H148	human	C
H149	human	C
H150	human	C
H151	human	C
H157	human	D
H159	human	D
H162	human	E
H163	human	A
H165	human	A
H167	human	B
H170	human	B
H172	human	B
H175	human	B
H188	human	C
H192	human	C
H193	human	D
H202	human	E
H203	human	E
H204	human	E
M1	mouse	B
M2	mouse	B
M3	mouse	C
M4	mouse	C
M5	mouse	C
M8	mouse	C
M10	mouse	C
M11	mouse	C
M14	mouse	C
M15	mouse	C
M18	mouse	C
M25	mouse	A
M28	mouse	A
M33	mouse	B
M35	mouse	B
M38	mouse	D
M43	mouse	D
M45	mouse	D
M46	mouse	D
M47	mouse	D
M50	mouse	E
M52	mouse	E
M53	mouse	E
M54	mouse	E
M55	mouse	E
Z1	Zebrafish	B
Z3	Zebrafish	C
Z4	Zebrafish	D
Z5	Zebrafish	E
Z6	Zebrafish	E
Z7	Zebrafish	E
Z8	Zebrafish	E
